歌曲名,表演者,榜单名
美,王力宏,百度音乐:新歌TOP100
茧,赵浴辰,百度音乐:新歌TOP100
藏,陈翔,百度音乐:新歌TOP100
衬,张敬轩,百度音乐:新歌TOP100
诱,林宥嘉,百度音乐:新歌TOP100
说,萧敬腾,百度音乐:新歌TOP100
诺,"李炜,杨洋",百度音乐:新歌TOP100
谁,卢凯彤,百度音乐:新歌TOP100
谁,蔡健雅,百度音乐:新歌TOP100
谜,陈坤,百度音乐:新歌TOP100
超,李宇春,百度音乐:新歌TOP100
路,万茜,百度音乐:新歌TOP100
辞,范冰冰,百度音乐:新歌TOP100
逃,朱克,百度音乐:新歌TOP100
酷,李宇春,百度音乐:新歌TOP100
野,江映蓉,百度音乐:新歌TOP100
门,曹方,百度音乐:新歌TOP100
闷,尚雯婕,百度音乐:新歌TOP100
闹,张玮,百度音乐:新歌TOP100
飘,孟庭苇,百度音乐:新歌TOP100
飞,洪辰,百度音乐:新歌TOP100
飞,吴建飞,百度音乐:新歌TOP100
飞,明白人组合,百度音乐:新歌TOP100
黑,周柏豪,百度音乐:新歌TOP100
黑,钟汉良,百度音乐:新歌TOP100
200%,乐童音乐家,百度音乐:新歌TOP100
Baby,丁丁/黄一,百度音乐:新歌TOP100
Back,INFINITE,百度音乐:新歌TOP100
Back,Infinite,百度音乐:新歌TOP100
Beep,朴志胤,百度音乐:新歌TOP100
Bond,"HA:TFELT,Beenzino",百度音乐:新歌TOP100
Cry.,Mariah Carey,百度音乐:新歌TOP100
Dope,Lady Gaga,百度音乐:新歌TOP100
Girl,尚雯婕,百度音乐:新歌TOP100
Goal,张靓颖,百度音乐:新歌TOP100
Halo,尚雯婕,百度音乐:新歌TOP100
Halo,吉克隽逸,百度音乐:新歌TOP100
Hero,苏丁琦,百度音乐:新歌TOP100
Home,阿兰,百度音乐:新歌TOP100
Hush,miss A,百度音乐:新歌TOP100
I DO,彭坦,百度音乐:新歌TOP100
John,梁心颐,百度音乐:新歌TOP100
Love,Hebe,百度音乐:新歌TOP100
Love,黄淑惠,百度音乐:新歌TOP100
MILK,f(x),百度音乐:新歌TOP100
Mako,Priscilla Ahn,百度音乐:新歌TOP100
Maps,Maroon 5,百度音乐:新歌TOP100
Mine,2PM,百度音乐:新歌TOP100
Nina,Ed Sheeran,百度音乐:新歌TOP100
Ride,Lana Del Rey,百度音乐:新歌TOP100
Roar,Katy Perry,百度音乐:新歌TOP100
Rose,李夏怡,百度音乐:新歌TOP100
Sing,Ed Sheeran,百度音乐:新歌TOP100
Star,15＆,百度音乐:新歌TOP100
Stay,James,百度音乐:新歌TOP100
Stay,少女时代-太蒂徐,百度音乐:新歌TOP100
Taxi,"李珉宇,Eric",百度音乐:新歌TOP100
Trap,"Henry,KyuHyun,TAEMIN",百度音乐:新歌TOP100
Vida,Ricky Martin,百度音乐:新歌TOP100
bb88,方大同,百度音乐:新歌TOP100
easy,彭坦,百度音乐:新歌TOP100
girl,尚雯婕,百度音乐:新歌TOP100
halo,吉克隽逸,百度音乐:新歌TOP100
hero,苏醒,百度音乐:新歌TOP100
hero,韩庚,百度音乐:新歌TOP100
i am,林俊杰,百度音乐:新歌TOP100
john,梁心颐,百度音乐:新歌TOP100
life,胡彦斌,百度音乐:新歌TOP100
love,徐佳莹,百度音乐:新歌TOP100
mama,exo-m,百度音乐:新歌TOP100
oaoa,五月天,百度音乐:新歌TOP100
11:11,Illionaire Records,百度音乐:新歌TOP100
20岁,崔天琪,百度音乐:新歌TOP100
70后,庞龙,百度音乐:新歌TOP100
Alien,Britney Spears,百度音乐:新歌TOP100
Alive,Daft Punk,百度音乐:新歌TOP100
Angel,张杰,百度音乐:新歌TOP100
Angel,艾菲,百度音乐:新歌TOP100
Angel,刘思涵,百度音乐:新歌TOP100
Angel,Sarah Brightman,百度音乐:新歌TOP100
Candy,Robbie Williams,百度音乐:新歌TOP100
Crazy,江映蓉,百度音乐:新歌TOP100
Crush,2NE1,百度音乐:新歌TOP100
Diana,One Direction,百度音乐:新歌TOP100
Do It,"Pitbull,Mayer Hawthorne",百度音乐:新歌TOP100
Don't,Ed Sheeran,百度音乐:新歌TOP100
Drift,RZA,百度音乐:新歌TOP100
Exile,Hurts,百度音乐:新歌TOP100
Fated,东方神起,百度音乐:新歌TOP100
Fight,宋念宇,百度音乐:新歌TOP100
Gypsy,Lady Gaga,百度音乐:新歌TOP100
Hello,GOT7,百度音乐:新歌TOP100
Intro,梁晓雪,百度音乐:新歌TOP100
Intro,Toheart(WooHyun&Key),百度音乐:新歌TOP100
KO ME,何洁,百度音乐:新歌TOP100
Kelly,萧敬腾,百度音乐:新歌TOP100
Lucky,EXO-K,百度音乐:新歌TOP100
Lucky,EXO-M,百度音乐:新歌TOP100
Magic,Coldplay,百度音乐:新歌TOP100
Mercy,吉克隽逸,百度音乐:新歌TOP100
OCEAN,"彭坦,春晓",百度音乐:新歌TOP100
Opera,林志炫,百度音乐:新歌TOP100
Robot,CNBLUE,百度音乐:新歌TOP100
Romeo,方大同,百度音乐:新歌TOP100
SHERO,S.H.E,百度音乐:新歌TOP100
SO SO,JYJ,百度音乐:新歌TOP100
Sorry,陈妍希,百度音乐:新歌TOP100
Sorry,吉克隽逸,百度音乐:新歌TOP100
Story,朴信惠,百度音乐:新歌TOP100
Sugar,15＆,百度音乐:新歌TOP100
Sweat,东方神起,百度音乐:新歌TOP100
Truth,HA:TFELT,百度音乐:新歌TOP100
Uh-ee,Crayon Pop,百度音乐:新歌TOP100
We Up,BEAST,百度音乐:新歌TOP100
X-man,韩庚,百度音乐:新歌TOP100
Young,海龟先生,百度音乐:新歌TOP100
dante,罗志祥,百度音乐:新歌TOP100
do it,吴建豪,百度音乐:新歌TOP100
honey,郭书瑶,百度音乐:新歌TOP100
intro,李炜,百度音乐:新歌TOP100
play!,大嘴巴,百度音乐:新歌TOP100
trust,Christina Perri,百度音乐:新歌TOP100
180度,孙燕姿,百度音乐:新歌TOP100
201314,何洁,百度音乐:新歌TOP100
365天,JPM,百度音乐:新歌TOP100
Answer,东方神起,百度音乐:新歌TOP100
Artpop,Lady Gaga,百度音乐:新歌TOP100
Crayon,G-Dragon,百度音乐:新歌TOP100
Empire,Shakira,百度音乐:新歌TOP100
Fxxk U,"佳仁,Bumkey",百度音乐:新歌TOP100
Get Up,阿肆,百度音乐:新歌TOP100
Gospel,Robbie Williams,百度音乐:新歌TOP100
Higher,Marvin Priest,百度音乐:新歌TOP100
Holler,少女时代-太蒂徐,百度音乐:新歌TOP100
Hunter,Pharrell Williams,百度音乐:新歌TOP100
I Know,东方神起,百度音乐:新歌TOP100
I know,Tom Odell,百度音乐:新歌TOP100
Listen,茜拉,百度音乐:新歌TOP100
Lonely,戈锐,百度音乐:新歌TOP100
Lonely,孝琳(Sistar),百度音乐:新歌TOP100
Memory,辛晓琪,百度音乐:新歌TOP100
Moment,李昶旻,百度音乐:新歌TOP100
Mr.Chu,Apink,百度音乐:新歌TOP100
Mr.Mr.,少女时代,百度音乐:新歌TOP100
Only U,少女时代-太蒂徐,百度音乐:新歌TOP100
Rumors,Chau Pak Ho,百度音乐:新歌TOP100
Timber,"Pitbull,Ke$ha",百度音乐:新歌TOP100
Yellow,侯磊,百度音乐:新歌TOP100
doremi,郑秀文,百度音乐:新歌TOP100
from u,super junior,百度音乐:新歌TOP100
loveu2,陈伟霆,百度音乐:新歌TOP100
scream,usher,百度音乐:新歌TOP100
一刻,苏妙玲,百度音乐:新歌TOP100
一半,丁当,百度音乐:新歌TOP100
一对,陆昱霖,百度音乐:新歌TOP100
一直,郁可唯,百度音乐:新歌TOP100
一起,范晓萱,百度音乐:新歌TOP100
七夕,许嵩,百度音乐:新歌TOP100
七天,卢广仲,百度音乐:新歌TOP100
三月,张惠妹,百度音乐:新歌TOP100
上阵,twins,百度音乐:新歌TOP100
不停,王啸坤,百度音乐:新歌TOP100
不停,"梁晓雪,徐曼",百度音乐:新歌TOP100
不哭,王心凌,百度音乐:新歌TOP100
不多,张栋梁,百度音乐:新歌TOP100
不想,欧育齐,百度音乐:新歌TOP100
不朽,华晨宇,百度音乐:新歌TOP100
不爱,曾一鸣,百度音乐:新歌TOP100
不痛,樊凡,百度音乐:新歌TOP100
不良,徐良,百度音乐:新歌TOP100
不说,谭晶,百度音乐:新歌TOP100
不败,"吴建豪,2pm俊昊",百度音乐:新歌TOP100
不还,郭静,百度音乐:新歌TOP100
不醉,黄渤,百度音乐:新歌TOP100
不问,何晟铭,百度音乐:新歌TOP100
不难,徐佳莹,百度音乐:新歌TOP100
丑角,曹格,百度音乐:新歌TOP100
丝萝,李宇春,百度音乐:新歌TOP100
丝路,"陈楚生,阿兰",百度音乐:新歌TOP100
两全,张杰,百度音乐:新歌TOP100
两双,"谢安琪,吉克隽逸",百度音乐:新歌TOP100
中枪,王麟,百度音乐:新歌TOP100
主角,至上励合,百度音乐:新歌TOP100
乏味,周传雄,百度音乐:新歌TOP100
习惯,李慧珍,百度音乐:新歌TOP100
争气,吉克隽逸,百度音乐:新歌TOP100
云图,韩庚,百度音乐:新歌TOP100
五虎,慢慢说组合,百度音乐:新歌TOP100
人偶,卫薇儿,百度音乐:新歌TOP100
人办,刘德华,百度音乐:新歌TOP100
人质,权振东,百度音乐:新歌TOP100
什么,李宇春,百度音乐:新歌TOP100
仓颉,五月天,百度音乐:新歌TOP100
他们,张惠妹,百度音乐:新歌TOP100
仙儿,二手玫瑰,百度音乐:新歌TOP100
仰望,杨丞琳,百度音乐:新歌TOP100
伏笔,薛之谦,百度音乐:新歌TOP100
伙伴,群星,百度音乐:新歌TOP100
传奇,孙楠,百度音乐:新歌TOP100
传奇,王菲,百度音乐:新歌TOP100
传奇,周华健,百度音乐:新歌TOP100
伤痕,金池,百度音乐:新歌TOP100
伤痕,"范玮琪,胡维纳",百度音乐:新歌TOP100
低嗨,张靓颖,百度音乐:新歌TOP100
佛说,何晟铭,百度音乐:新歌TOP100
你喔,苏打绿,百度音乐:新歌TOP100
保庇,王彩桦,百度音乐:新歌TOP100
信仰,杨坤,百度音乐:新歌TOP100
信仰,黄征,百度音乐:新歌TOP100
信条,后弦,百度音乐:新歌TOP100
倒刺,薛凯琪,百度音乐:新歌TOP100
倒叙,黄义达,百度音乐:新歌TOP100
倔强,Star4,百度音乐:新歌TOP100
倔强,Hope组合,百度音乐:新歌TOP100
倔强,"肖懿航,耀乐团",百度音乐:新歌TOP100
候鸟,尚雯婕,百度音乐:新歌TOP100
借过,炎亚纶,百度音乐:新歌TOP100
值得,张敬轩,百度音乐:新歌TOP100
倾世,霍建华,百度音乐:新歌TOP100
偏食,杨丞琳,百度音乐:新歌TOP100
偷情,莫文蔚,百度音乐:新歌TOP100
催眠,央吉玛,百度音乐:新歌TOP100
傻子,林宥嘉,百度音乐:新歌TOP100
傻瓜,阿杜,百度音乐:新歌TOP100
傻瓜,李代沫,百度音乐:新歌TOP100
傻笑,"周杰伦					  /    袁咏琳",百度音乐:新歌TOP100
兄妹,陈洁仪,百度音乐:新歌TOP100
兄弟,苏醒,百度音乐:新歌TOP100
兄弟,阿来,百度音乐:新歌TOP100
兄弟,旭日阳刚,百度音乐:新歌TOP100
光明,汪峰,百度音乐:新歌TOP100
光芒,任贤齐,百度音乐:新歌TOP100
克蒙,王睿,百度音乐:新歌TOP100
入戏,李宇春,百度音乐:新歌TOP100
兰夜,董贞,百度音乐:新歌TOP100
内疚,陈奕迅,百度音乐:新歌TOP100
冰封,萧敬腾,百度音乐:新歌TOP100
冷暖,李宇春,百度音乐:新歌TOP100
冻结,孙子涵,百度音乐:新歌TOP100
净土,孙楠,百度音乐:新歌TOP100
几点,"陈冠希					  /    Mc Hotdog					  /    李璨琛					  /    MC仁					  /    厨..",百度音乐:新歌TOP100
凤凰,张玮,百度音乐:新歌TOP100
凤凰,阿兰,百度音乐:新歌TOP100
出发,纵贯线,百度音乐:新歌TOP100
出色,容祖儿,百度音乐:新歌TOP100
分生,张惠妹,百度音乐:新歌TOP100
切歌,李圣杰,百度音乐:新歌TOP100
初初,古巨基,百度音乐:新歌TOP100
初爱,杨宗纬,百度音乐:新歌TOP100
初雪,EXO,百度音乐:新歌TOP100
刺猬,温岚,百度音乐:新歌TOP100
前传,林子祥,百度音乐:新歌TOP100
前度,林董,百度音乐:新歌TOP100
剑伤,李易峰,百度音乐:新歌TOP100
剑心,张杰,百度音乐:新歌TOP100
剪爱,黄绮珊,百度音乐:新歌TOP100
加油,林俊杰,百度音乐:新歌TOP100
匆匆,周传雄,百度音乐:新歌TOP100
匆匆,大学生播客,百度音乐:新歌TOP100
北漂,康康,百度音乐:新歌TOP100
匹夫,黄晓明,百度音乐:新歌TOP100
医生,许嵩,百度音乐:新歌TOP100
十年,刘若英,百度音乐:新歌TOP100
十年,沙宝亮,百度音乐:新歌TOP100
千山,刘恺威,百度音乐:新歌TOP100
半梦,,百度音乐:新歌TOP100
半梦,mic男团,百度音乐:新歌TOP100
半醒,刘思涵,百度音乐:新歌TOP100
即客,李代沫,百度音乐:新歌TOP100
卸妆,曾轶可,百度音乐:新歌TOP100
厚爱,梁咏琪,百度音乐:新歌TOP100
原来,信乐团,百度音乐:新歌TOP100
原谅,郭采洁,百度音乐:新歌TOP100
双双,范玮琪,百度音乐:新歌TOP100
反光,王栎鑫,百度音乐:新歌TOP100
反转,平安,百度音乐:新歌TOP100
叩叩,李玟,百度音乐:新歌TOP100
可爱,蔡健雅,百度音乐:新歌TOP100
可能,李霄云,百度音乐:新歌TOP100
可遇,杨钰莹,百度音乐:新歌TOP100
叹服,许嵩,百度音乐:新歌TOP100
同城,黄雅莉,百度音乐:新歌TOP100
听海,金池,百度音乐:新歌TOP100
听海,"肖洒,乔维怡",百度音乐:新歌TOP100
听见,梁佳杰,百度音乐:新歌TOP100
告白,陈翔,百度音乐:新歌TOP100
味道,侯磊,百度音乐:新歌TOP100
味道,辛晓琪,百度音乐:新歌TOP100
呼呼,安心亚,百度音乐:新歌TOP100
呼唤,阿兰,百度音乐:新歌TOP100
命定,吴建豪,百度音乐:新歌TOP100
哈喽,魏晨,百度音乐:新歌TOP100
哥哥,常石磊,百度音乐:新歌TOP100
哭了,周笔畅,百度音乐:新歌TOP100
哭了,孙伯纶,百度音乐:新歌TOP100
哭砂,张杰,百度音乐:新歌TOP100
哭砂,周华健,百度音乐:新歌TOP100
唇印,薛凯琪,百度音乐:新歌TOP100
唐人,孙子涵,百度音乐:新歌TOP100
唐歌,何晟铭,百度音乐:新歌TOP100
唯一,茜拉,百度音乐:新歌TOP100
唯舞,安心亚,百度音乐:新歌TOP100
唱片,王啸坤,百度音乐:新歌TOP100
喘息,张芸京,百度音乐:新歌TOP100
囚鸟,温岚,百度音乐:新歌TOP100
囚鸟,田馥甄,百度音乐:新歌TOP100
囚鸟,郁可唯,百度音乐:新歌TOP100
四季,"庞龙,吴碧霞",百度音乐:新歌TOP100
回味,樊凡,百度音乐:新歌TOP100
回味,黄韵玲,百度音乐:新歌TOP100
回家,李佳薇,百度音乐:新歌TOP100
回家,许艺娜,百度音乐:新歌TOP100
回家,郁可唯,百度音乐:新歌TOP100
回家,旭日阳刚,百度音乐:新歌TOP100
回应,陈翔,百度音乐:新歌TOP100
回来,梁博,百度音乐:新歌TOP100
回来,黄绮珊,百度音乐:新歌TOP100
地心,汪峰,百度音乐:新歌TOP100
地心,孙伯纶,百度音乐:新歌TOP100
坏了,张芸京,百度音乐:新歌TOP100
坑爹,高维那,百度音乐:新歌TOP100
坦白,RubberBand,百度音乐:新歌TOP100
城市,张悬,百度音乐:新歌TOP100
城市,梁晓雪,百度音乐:新歌TOP100
填空,家家,百度音乐:新歌TOP100
墙纸,容祖儿,百度音乐:新歌TOP100
壮举,张敬轩,百度音乐:新歌TOP100
声音,"李代沫,费玉清",百度音乐:新歌TOP100
夏天,李玖哲,百度音乐:新歌TOP100
外套,刘威煌,百度音乐:新歌TOP100
多少,蔡健雅,百度音乐:新歌TOP100
多少,陈奕迅,百度音乐:新歌TOP100
夜奔,里翌楷,百度音乐:新歌TOP100
夜车,曾轶可,百度音乐:新歌TOP100
大地,羽泉,百度音乐:新歌TOP100
大海,丁克森,百度音乐:新歌TOP100
大胆,张靓颖,百度音乐:新歌TOP100
天使,金霖,百度音乐:新歌TOP100
天台,"周杰伦,柯有伦,徐帆",百度音乐:新歌TOP100
天后,刘力扬,百度音乐:新歌TOP100
天后,陈势安,百度音乐:新歌TOP100
天命,"权振东,刘振宇",百度音乐:新歌TOP100
天晴,曲泉丞,百度音乐:新歌TOP100
天机,"阿信,魔幻力量",百度音乐:新歌TOP100
天机,阿信/魔幻力量,百度音乐:新歌TOP100
天河,李克勤,百度音乐:新歌TOP100
天真,弦子,百度音乐:新歌TOP100
天空,张杰,百度音乐:新歌TOP100
天空,宾俊杰,百度音乐:新歌TOP100
天空,"HAYA乐团,孙伯纶",百度音乐:新歌TOP100
天边,韩磊,百度音乐:新歌TOP100
天音,黄圣依,百度音乐:新歌TOP100
天黑,柯以敏,百度音乐:新歌TOP100
太难,金池,百度音乐:新歌TOP100
奇迹,江映蓉,百度音乐:新歌TOP100
奔跑,羽泉,百度音乐:新歌TOP100
她们,陈楚生,百度音乐:新歌TOP100
她说,林俊杰,百度音乐:新歌TOP100
她说,谢安琪,百度音乐:新歌TOP100
如初,李宇春,百度音乐:新歌TOP100
妈妈,尚雯婕,百度音乐:新歌TOP100
姐姐,贾盛强,百度音乐:新歌TOP100
姑娘,胡彦斌,百度音乐:新歌TOP100
嫁妆,郭静,百度音乐:新歌TOP100
嫁妆,安与骑兵,百度音乐:新歌TOP100
嫁妆,木江子组合,百度音乐:新歌TOP100
嫉妒,周笔畅,百度音乐:新歌TOP100
字花,薛凯琪,百度音乐:新歌TOP100
存在,汪峰,百度音乐:新歌TOP100
存在,刘明辉,百度音乐:新歌TOP100
学会,李行亮,百度音乐:新歌TOP100
宁夏,郁可唯,百度音乐:新歌TOP100
守约,周蕙,百度音乐:新歌TOP100
宝贝,莫文蔚,百度音乐:新歌TOP100
客梦,"周华健,张大春",百度音乐:新歌TOP100
家园,薛凯琪,百度音乐:新歌TOP100
寂寞,谢容儿,百度音乐:新歌TOP100
密友,周笔畅,百度音乐:新歌TOP100
对味,安又琪,百度音乐:新歌TOP100
对嘴,周笔畅,百度音乐:新歌TOP100
对手,苏醒,百度音乐:新歌TOP100
对折,任贤齐,百度音乐:新歌TOP100
尊严,陈柏宇,百度音乐:新歌TOP100
小丑,潘玮柏,百度音乐:新歌TOP100
小方,方大同,百度音乐:新歌TOP100
小芳,胡彦斌,百度音乐:新歌TOP100
少年,Hope组合,百度音乐:新歌TOP100
少来,炎亚纶,百度音乐:新歌TOP100
尘埃,魏晨,百度音乐:新歌TOP100
就手,泳儿,百度音乐:新歌TOP100
尾巴,陈伟霆,百度音乐:新歌TOP100
屋顶,"陶喆,关诗敏",百度音乐:新歌TOP100
屋顶,"范玮琪,李建辉",百度音乐:新歌TOP100
山丘,侯磊,百度音乐:新歌TOP100
山河,韩磊,百度音乐:新歌TOP100
岛歌,汤旭,百度音乐:新歌TOP100
崇拜,方炯镔,百度音乐:新歌TOP100
左右,戴爱玲,百度音乐:新歌TOP100
巷雨,回音哥,百度音乐:新歌TOP100
干杯,五月天,百度音乐:新歌TOP100
年年,蔡卓妍,百度音乐:新歌TOP100
年轮,黄雅莉,百度音乐:新歌TOP100
幻听,许嵩,百度音乐:新歌TOP100
序幕,李宇春,百度音乐:新歌TOP100
底细,杨宗纬,百度音乐:新歌TOP100
当你,林俊杰,百度音乐:新歌TOP100
当时,张信哲,百度音乐:新歌TOP100
彩虹,平安,百度音乐:新歌TOP100
彩虹,刘明辉,百度音乐:新歌TOP100
彩虹,张惠妹,百度音乐:新歌TOP100
彼此,何韵诗,百度音乐:新歌TOP100
征服,萧敬腾,百度音乐:新歌TOP100
征服,那英/梁博/张玮/多亮/张赫宣,百度音乐:新歌TOP100
征程,王啸坤,百度音乐:新歌TOP100
很忙,容祖儿,百度音乐:新歌TOP100
徒手,张杰,百度音乐:新歌TOP100
徘徊,樊凡,百度音乐:新歌TOP100
微光,华晨宇,百度音乐:新歌TOP100
微光,陈慧琳,百度音乐:新歌TOP100
微光,黄义达,百度音乐:新歌TOP100
微微,郭顶,百度音乐:新歌TOP100
心动,曾一鸣,百度音乐:新歌TOP100
心墙,林采欣,百度音乐:新歌TOP100
心情,"陈晓,赵丽颖",百度音乐:新歌TOP100
心术,张宇,百度音乐:新歌TOP100
心火,姚贝娜,百度音乐:新歌TOP100
心经,陈坤,百度音乐:新歌TOP100
心结,李炆,百度音乐:新歌TOP100
心跳,弦子,百度音乐:新歌TOP100
心跳,杨谨,百度音乐:新歌TOP100
忘了,何洁,百度音乐:新歌TOP100
忘了,杨丞琳,百度音乐:新歌TOP100
忠诚,张赫宣,百度音乐:新歌TOP100
快活,曲婉婷,百度音乐:新歌TOP100
念你,刘子千,百度音乐:新歌TOP100
怀珠,杨宗纬,百度音乐:新歌TOP100
怕黑,言承旭,百度音乐:新歌TOP100
思凡,林宥嘉,百度音乐:新歌TOP100
思念,罗大佑,百度音乐:新歌TOP100
恋爱,光良,百度音乐:新歌TOP100
恩惠,萨顶顶,百度音乐:新歌TOP100
恶人,"孙子涵					  /    Xun",百度音乐:新歌TOP100
悠哉,杨众国,百度音乐:新歌TOP100
悬崖,侯磊,百度音乐:新歌TOP100
悬崖,平安,百度音乐:新歌TOP100
悲爱,萧敬腾,百度音乐:新歌TOP100
情人,刘威煌,百度音乐:新歌TOP100
情人,谢安琪,百度音乐:新歌TOP100
情圣,孙子涵/常定晨,百度音乐:新歌TOP100
情圣,"孙子涵					  /    常定晨",百度音乐:新歌TOP100
情妇,朱贝贝,百度音乐:新歌TOP100
情敌,张津涤,百度音乐:新歌TOP100
情歌,侧田,百度音乐:新歌TOP100
情殇,信乐团,百度音乐:新歌TOP100
情网,满文军,百度音乐:新歌TOP100
情话,徐良,百度音乐:新歌TOP100
惜爱,张敬轩,百度音乐:新歌TOP100
想念,陈楚生,百度音乐:新歌TOP100
想逃,罗志祥,百度音乐:新歌TOP100
感应,纵贯线,百度音乐:新歌TOP100
感谢,屠洪刚,百度音乐:新歌TOP100
感谢,张靓颖,百度音乐:新歌TOP100
慈愿,韩红,百度音乐:新歌TOP100
慢慢,王乃恩,百度音乐:新歌TOP100
我们,羽泉,百度音乐:新歌TOP100
我们,段林希,百度音乐:新歌TOP100
我们,黑豹乐队,百度音乐:新歌TOP100
我俩,"藤井美菜,李弘基",百度音乐:新歌TOP100
我想,平安,百度音乐:新歌TOP100
我爱,王子鸣,百度音乐:新歌TOP100
战放,本兮,百度音乐:新歌TOP100
战豆,琳琳,百度音乐:新歌TOP100
房间,刘瑞琦,百度音乐:新歌TOP100
房间,江美琪,百度音乐:新歌TOP100
手语,周杰伦,百度音乐:新歌TOP100
打呼,"潘玮柏,杨丞琳",百度音乐:新歌TOP100
打破,黄小琥,百度音乐:新歌TOP100
承认,曲婉婷,百度音乐:新歌TOP100
承诺,袁姗姗,百度音乐:新歌TOP100
拂晓,刘惜君,百度音乐:新歌TOP100
拥抱,俞灏明,百度音乐:新歌TOP100
拥抱,谭维维,百度音乐:新歌TOP100
拥有,林宥嘉,百度音乐:新歌TOP100
拯救,权振东,百度音乐:新歌TOP100
挂失,阿杜,百度音乐:新歌TOP100
指望,徐岑子,百度音乐:新歌TOP100
指望,郁可唯,百度音乐:新歌TOP100
指环,陈翔,百度音乐:新歌TOP100
指纹,胡歌,百度音乐:新歌TOP100
挚爱,林志颖,百度音乐:新歌TOP100
换约,梁咏琪,百度音乐:新歌TOP100
接纳,海龟先生,百度音乐:新歌TOP100
搁浅,张杰,百度音乐:新歌TOP100
撕心,朴文哲,百度音乐:新歌TOP100
改变,胡夏,百度音乐:新歌TOP100
改变,张靓颖,百度音乐:新歌TOP100
放下,张靓颖,百度音乐:新歌TOP100
放开,萧敬腾,百度音乐:新歌TOP100
放肆,五月天,百度音乐:新歌TOP100
故乡,许巍,百度音乐:新歌TOP100
故乡,塔斯肯,百度音乐:新歌TOP100
故乡,旭日阳刚王旭,百度音乐:新歌TOP100
故乡,帕尔哈提;王卓,百度音乐:新歌TOP100
旅客,牛奶咖啡,百度音乐:新歌TOP100
旅途,孙楠,百度音乐:新歌TOP100
旅途,平安,百度音乐:新歌TOP100
旅途,刘力扬,百度音乐:新歌TOP100
无名,何韵诗,百度音乐:新歌TOP100
无常,吴奇隆,百度音乐:新歌TOP100
无泪,袁姗姗/韩栋,百度音乐:新歌TOP100
无泪,袁姗姗    /    韩栋,百度音乐:新歌TOP100
无眠,苏打绿,百度音乐:新歌TOP100
