10minutes,李孝利
BohemianRhapsody,Queen
BoomBoomBoom,王绎龙
BornToDie,LanaDelRey
BoulevardOfBrokenDreams,GreenDay
BoysBoysBoys,LadyGaga
BreakDown,SuperJunior-M
BreathandLife,Audiomachine
BreezeFromTheSea,自然与神思合奏团
BrotherLouie,ModernTalking
BrownEyes,LadyGaga
BurningInTheSkies,LinkinPark
Burnitdown,LinkinPark
ByTheWay,RedHotChiliPeppers
ByeBye,MariahCarey
ByeByeBeautiful,Nightwish
CaliforniaDreaming,TheMamas&ThePapas
CaliforniaDreaming,North
CaliforniaGurls,"KatyPerry,SnoopDogg"
CaliforniaKingBed,Rihanna
CallYouTonight,WhitneyHouston
Callyourname,泽野弘之
Can'TGetOverYou,GrooveCoverage
Can'TTakeMyEyesOffYou,王若琳
Can'tRemembertoForgetYou,Shakira
CanTGetYouOutOfMyHead,KylieMinogue
CanYouFeelIt,JeanRoch
CanYouFeelMyWorld,王力宏
CanYouFeelTheLoveTonight,EltonJohn
CanonInD-II,"Pachelbel,RenaissanceEnsemble"
CanonandGigueinDmajorfor3violinsandbassocontinuo,VariousArtists
Can’tHoldUs,Macklemore&RyanLewis
CarelessWhisper,GeorgeMichael
CeFrumoasaEIubirea,Giulia
ChariotsOfFire,Vangelis
ChildhooodMemory,Bandari
ChristmasInMyHeart,SarahConnor
CloseToYou,Carpenters
ColdAsYou,TaylorSwift
ColorfulDays,朴树
ComeAndGetYourLove,Redbone
ComingHome,DiddyDirtyMoney
ConquestOfParadise,Vangelis
CouldThisBeLove,VictoriaAcosta
CountOnMe,BrunoMars
CountYourLastBlessings,Sum41
CrazyInLove,Beyonce
CrazyKids,Ke$ha
Creepin'UpOnYou,DarrenHayes
CroatianRhapsody,Maksim
CryOnMyShoulder,DeutschlandsuchtdenSuperstar
DJ版漂亮的姑娘就要嫁人啦,"龙梅子,老猫"
DancingInTheRain,水木年华
DanzaKuduro,DonOmar
DarkParadise,LanaDelRey
DearFriend,顺子
DjGotUsFallin'InLove,"Usher,Pitbull,Hypercrush"
DjGotUsFallin'InLove,"Usher,Pitbull"
Dj舞曲凤舞九天,群星
DoYouWanttoBuildaSnowman,"KristenBell,AgathaLeeMonn"
Don'TCry,GunsN'Roses
Don'TWannaGoHome,JasonDerulo
DonGiovanni,RichardClayderman
DonTBreakMyHeart,黑豹乐队
DonTKnowWhy,NorahJones
DonTTreatMeLikeAFool,Blue
Don’TTurnOffTheLights,EnriqueIglesias
Doo-Be-Di-Boy,Smile
DragonRider,TwoStepsFromHell
"Drama,Love&'Lationships",Babyface
DreamingInTheMoonlight梦于月光中,Bandari
DreamsWillNeverDie,Isgaard
DuHast,rammstein
DyingInTheSun,TheCranberries
D大调嬉游曲,胎教音乐
EPensoate,RichardClayderman
EarthSong,MichaelJackson
EasyComeEasyGo,"蔡健雅,MCHotdog"
EchoesOfTheRainbow,李治廷
EenieMeenie,"JustinBieber,SeanKingston"
"Eh,Eh",LadyGaga
EinkleinesLied,candee
ElectricRomeo,ImmediateMusic
EndCredits,HansZimmer
Europa(???）,少女时代
EveryBreathYouTake,"田园,唐荭菲"
EveryBreathYouTake,ThePolice
EverybodyHurts,AvrilLavigne
EverythingHasChanged,TaylorSwift
EyesOnMe,王菲
FadeToBlack,Metallica
FairyTale,ToniBraxton
FallinForYou,ColbieCaillat
FallingSlowly,LindaEder
FeelThisMoment,"Pitbull,ChristinaAguilera"
FindTheWay,中岛美嘉
FirstLove,宇多田光
FirstLove,T-ara
FiveHundredMiles,"JustinTimberlake,StarkSands,CareyMulligan"
FlowerDance,DJOKAWARI
FlyAway,飞儿乐团
FootballKids,Club8
FootprintsInTheSand,LeonaLewis
FootprintsInTheSand,萱萱
ForNoReason,王若琳
ForbiddenLove,神思者
ForeverLove,茜拉
FortheFirstTimeinForever,VariousArtists
FortheWin,TwoStepsFromHell
FragrantFields,GeorgeWinston
FreeLoop,DanielPowter
FucKin'Perfect,Pink
FuckYou,LilyAllen
GALAXYSUPERNOVA,少女时代
GatesOfDawn,SecretGarden
GetDown,BackstreetBoys
GetOverYou,G.E.M.邓紫棋
GetUpOffaThatThing,JamesBrown
GoingHome,KennyG
GoingHome,SophieZelmani
GoingOut,久石让
GoodbyeMontana-Part2,GeorgeWinston
GoodbyeMyLover,JamesBlunt
GoodtobeBad,G.E.M.邓紫棋
GottaHaveYou,Theweepies
GreekMeditation希腊冥想曲,Bandari
GuiltyAllTheSame,"LinkinPark,Rakim"
GuitarSound,RonaldJenkees
HallOfFame,"TheScript,will.i.am"
HandHold,曲婉婷
HandsOnTheRadio,ChrisGarneau
HandsUp举手狂欢,2PM
HarderBetterFasterStronger,DaftPunk
HarderToBreathe,Maroon5
HaveANiceDay,FredCoury
HealTheWorld,MichaelJackson
HeartAndSoul,KennyG
HeartAttack,EXO-M
HeartofCourage,TwoStepsFromHell
HeavenOnEarth人间天上,Bandari
Heaven’sDay,东方神起
HelloDolly,小野丽莎
HelloSeattle,OwlCity
HereWeAreAgain,电影原声
HereWithYou,AsherBook
Hero'sTheme,StevenBurke
HeyBaby,Pitbull
HeyGirlDon'TBotherMe,TheTams
HeyOh,Tragedie
HisMistakes,Usher
HolyVirgin,GrooveCoverage
HoneyHoney,孙燕姿
HotSummer,f
HowDeepIsYourLove,BeeGees
HushHush,AvrilLavigne
HushHush,ThePussycatDolls
I'MGonnaGetchaGood!,ShaniaTwain
I'MOuttaLove,Anastacia
I'MSorryThatTheKitchenIsOnFire,TamasWells
I'VeNeverBeenToMe,Charlene
I'llBeBack,2PM
I'mYours,JasonMraz
IBelieve,孙楠
IBelieve,我的野蛮女友
IBelieve,纯音乐
IBelieveICanFly,R.Kelly
IBelieveICanFly,邓鼓
ICan't,2PM
ICouldBeTheOne,DonnaLewis
IGotYou,JamesBrown
IHateMyselfForLovingYou,刘雅婷
IHateMyselfForLovingYou,JoanJett&theBlackhearts
IHaveNothing,WhitneyHouston
IHaveNothing,田丹
IJustCalledToSayILoveYou,StevieWonder
ILoveIt,IconaPop
ILoveYou,StewartMac
IMissU,本兮
INeedADoctor,Eminem
INeedYou,Westlife
INeedYourLove,"EllieGoulding,CalvinHarris"
ISayALittlePrayer,ArethaFranklin
IStayInLove,MariahCarey
IStillBelieve,MariahCarey
ISwear,TheMinions
IWannaBeWithYou,BackstreetBoys
IWantItThatWay,BackstreetBoys
IWantMyTearsBack,Nightwish
IWill,biancaryan
IWon'tGiveUp,JasonMraz
IchWill,rammstein
IfEveryoneCared,Nickelback
IfICouldFly,JoeSatriani
IfICouldTellYou,Yanni
IfIDieYoung,TheBandPerry
IfILetYouGo,Westlife
IfOnlyYou,DannySaucedo
IfYouWantMe,"MarketaIrglova,GlenHansard"
InTheEnd,LinkinPark
InTheMorningLight,Yanni
InYourHands,JasonMraz
InternationalLove,"Pitbull,ChrisBrown"
Islands,SuperJunior
It'sMyLife,BonJovi
It'sMyParty,JessieJ
ItShouldBeEasy,BritneySpears
JasmineFlower茉莉花,KennyG
Jeanny珍妮,罗百吉
JingleBells,Carpenters
JustCan’TGetEnough,TheBlackEyedPeas
JustOneLastDance,SarahConnor
KeepWalkingorI'llKillYou,AgnesKain
KissGoodbye,王力宏
KnockKnock,Lenka
Knockin'OnHeaven'sDoor,毕夏
KnockinOnHeavenSDoor,AvrilLavigne
KnockingOnHeaven’SDoor,BobDylan
LOVEYOULIKEALOVESONG,"SelenaGomez,theScene"
LaBalladeOfLady&Bird,Lady&Bird
LaChaTa,f
LaIslaBonita,Madonna
LaVieEnRose,LouisArmstrong
LaVieEnRose玫瑰人生,小野丽莎
LadyMarmalade,"ChristinaAguilera,Lil'Kim,Mya,Pink"
LargerThanLife,MichaelLington
LastOfTheWilds,Nightwish
LatinGirl,JustinBieber
LeaveOutAllTheRest,LinkinPark
LegendaryLovers,KatyPerry
LemonTree,FoolSGarden
Let'sStartFromHere,王若琳
LetItBe,TheBeatles
LetItGo,"VariousArtists,MarshaMilanLondoh,WillemijnVerkaik,"
LetItRain,Nichkhun
LetMeGo,"AvrilLavigne,ChadKroeger"
Let’sDance,SuperJunior
Liekkas,SofiaJannok
LifeForRent,Dido
LikeTheWind,神思者
LittleGirlInTheWorld,林二汶
LiveTomorrow,Laleh
LivingToLoveYou,SarahConnor
LongLive,TaylorSwift
LongLongJourney,Enya
LoseYourself,Eminem
LostInParadise,王若琳
LoveInDecember,Club8
LoveIsColorblind,SarahConnor
LoveIsanOpenDoor,VariousArtists
LoveIs…,"朴章贤,"
LoveLoveLove,蔡依林
LoveMe,JustinBieber
LoveMotion,李敏镐
LoveOfMyLife一生爱恋,Bandari
LoveStory,泰勒·斯威夫特
LoveStruckMeDown,曲婉婷
LoveTheWayYouLie,"Eminem,Rihanna"
LoveTheWayYouLie,"Rihanna,Eminem"
LoveWillKeepUsAlive,Eagles
LovetheWayYouLie,Rihanna
LovingYou,KennyG
Loyal,"ChrisBrown,LilWayne,FrenchMontana"
LuvLetter,DJOKAWARI
MRTAXI,少女时代
MaBoo,T-ara
MadSummer,久石让
MadWorld,SusanBoyle
MadWorld,AdamLambert
MainTitle,RaminDjawadi
MakeLove,BigBang
MakeYouFeelMyLove,Adele
MakeYouFeelMyLove,张珈铭
MakingLoveOutOfNothingAtAll,AirSupply
MayItBe,Enya
MaybeI'LlGo,LeneMarlin
MeAndMyBrokenHeart,Rixton
MelonStreetBookClub,TamasWells
MeltTheSnow,ShayneWard
Menuett#6,LizStory
MerryGoRound,久石让
MiMiMi,Serebro
MissingYou,"G-Dragon,金润雅"
MissingYou,2NE1
MoonRiver,王若琳
MoonRiver,小野丽莎
MoonlightShadow,GrooveCoverage
MoonlightShadow,DanaWinner
MoreThanAnyone,蔡健雅
Mr.Worldwide,"Pitbull,Vein"
MugamSayagi,KronosQuartet
MurderMyHeart,MichaelBolton
MyAll,滨崎步
MyAll,MariahCarey
MyDecember,LinkinPark
MyDestiny,LYn
MyEverything,李敏镐
MyHappyEnding,AvrilLavigne
MyHeartWillGoOn,CelineDion
MyHeartWillGoOn,KennyG
MyHumps,TheBlackEyedPeas
MyOhMy,Aqua
MySongsKnowWhatYouDid...,FallOutBoy
MySongsKnowWhatYouDidInTheDark,FallOutBoy
MyTurnToCry,EXO
NeverGrowUp,TaylorSwift
NeverHadADreamComeTrue,SClub7
NeverKnow,JackJohnson
NeverSayGoodbye,Mario&Nasty
NeverSayNever,TheFray
NewAgain,"BradPaisley,SaraEvans"
NewBoy,朴树
NewDayComing,自然与神思合奏团
NewDivide,LinkinPark
NewSoul,YaelNaim
NightPrayer,Iridio
NoMatterWhat,Boyzone
NoPromises,ShayneWard
NobodyButYou,BackstreetBoys
NotAfraid,Eminem
Nothing'SGoingToChangeMyLoveForYou,Westlife
Nothing'SGonnaChangeMyLoveForYou,方大同
Nothing'SGonnaChangeMyLoveForYou,GEORGEBENSON
NothingInTheWorld,AtomicKitten
NothingOnYou,邓福如
NuAbo,f
NumbEncore,"林肯公园,Jay-Z,德瑞博士,50美分,艾米纳姆"
OceanWaves,GeorgeWinston
OhBoy,G.E.M.邓紫棋
OnTheFloor,"JenniferLopez,Pitbull"
OnTheRadio,GrooveCoverage
OneDayInSpring,Bandari
OneEvening,Feist
OneLastTime,KellyMack
OneLove,Blue
OneMan'SDream,Yanni
OneTime,JustinBieber
OnlyLove,GrooveCoverage
OnlyLove只有爱,Trademark
OntheFloor,JenniferLopez
OohLaLa,BritneySpears
OohLaLa,Goldfrapp
OurSong,TaylorSwift
OutlawsOfLove,AdamLambert
PSY-江南Style高清官方版,PSY
PalaceMemories,神思者
ParadiseInLove,李敏镐
PartitaForDoubleStringOrchestra:Iv.Fantasia,邓丽君
PartitaForDoubleStringOrchestra:Iv.Fantasia,吉克隽逸
Passionata热情,Maksim
PorUnaCabeza,汤玛斯纽曼
PrettyBaby,HoneyB&T-Bones
PrettyBoy,M2M
PrettyBoy,"泰民,KAI"
PriceTag,"B.o.B,JessieJ"
PrisonerOfLove,宇多田光
ProudOfYou,冯曦妤
QueSeraSera,DorisDay
R.O.D.,"G-Dragon,LydiaPaek"
ROADSUNTRAVELED,LinkinPark
RageYourDream,Move
RatherBe,"CleanBandit,JessGlynne"
RatherBefeat.JessGlynne,CleanBandit
Re:make,OneOkRock
RedneckWoman,GretchenWilson
RememberTheName,FortMinor
RequiemForATower,Escala
ReturnToInnocence,Enigma
RightHereWaiting,RichardMarx
RingRingRing,S.H.E
RingaLinga,太阳
RiverSide,久石让
RollTheDice,高姗
RollingInTheDeep,吉克隽逸
RollingInTheDeep,KimYarbrough
RollingStar,Yui
RunDevilRun,少女时代
RunawayBaby,BrunoMars
SavingAllMyLoveForYou,孟楠
SayItRight,NellyFurtado
"SayYou,SayMe",LionelRichie
ScarborougeFair,霍尊
SeasonsInTheSun,Westlife
SetFiretotherain,茜拉
SevenYears,NorahJones
"Sexy,Free&Single",SuperJunior
Sexymusic+冬天里的一把火,"吉克隽逸,刘昊霖"
ShallWeTalk,陈奕迅
ShapeOfMyHeart,Sting
ShapeOfMyHeart,BackstreetBoys
She'sGone,Steelheart
ShiningFriends,冯曦妤
ShotgunSenorita,BlueStahli
ShouldItMatter,Sissel
ShutUpAndLetMeGo,TheTingTings
Silentnight,BellyGilman
SingleLadies,Beyonce
SmoothCriminal,MichaelJackson
Snow静静的雪,Bandari
SoCold,pauladeanda
SoFar,ChrisGarneau
SoSick,Ne-Yo
SoWhat,P!nk
SomebodyLovesSomebody,CélineDion
SomebodyThatIUsedtoKnow,"Kimbra,Gotye"
SomedayI’llFly,G.E.M.邓紫棋
SomedayWe'llBeTogether,VondaShepard
SomewhereIBelong,LinkinPark
SongFromASecretGarden,SecretGarden
"Sorry,Sorry",SuperJunior
SorrySeemsToBeTheHardestWord,"Blue,EltonJohn"
SoundOfSilence,Ania
SpiritedAway-OneSummer'SDay,久石让
StandByMe,"葛泓语,张珈铭"
StaringattheSun,U2
StayBeautiful,TaylorSwift
StayHereForever,Jewel
"Steppe,EndlessSteppe","St.PetersburgMaleVoiceChoir,VadimAfanasiev"
StillWaiting,Sum41
StoryOfMyLife,BonJovi
StrengthofaThousandMen,TwoStepsFromHell
SummerRoad,久石让
SunshineGirl,moumoon
SunshineInTheRain,BwO
SuperStyle,SpeXial
SupermassiveBlackHole,MUSE
SweetDream,张娜拉
"TakeMeHome,CountryRoads",JohnDenver
"TakeMeHome,CountryRoads",塔斯肯
TakeMeHomeCountryRoads,小野丽莎
TakeMyHand,SimplePlan
TakeYou,JustinBieber
TalkingToTheMoon,BrunoMars
TearsInHeaven,EricClapton
TeenageLife,DazSampson
TellMe,潘玮柏
TellMeWhy,"DeclanGalbraith,TheYoungVoicesChoir"
TellMeWhy,Lafee
ThankYou,Dido
ThatPlaceInYourHeart,RonanHardiman
ThatSWhy,MichaelLearnsToRock
Thatxx,G-Dragon
TheAplSong,TheBlackEyedPeas
TheBest,苏梦玫
TheCupofLife,RickyMartin
TheDawn,Dreamtale
TheDayYouWentAway,M2M
TheDivaDance,贵族乐团
TheEndOfTheWorld,SkeeterDavis
TheEscapist,Nightwish
TheFinalCountdown,Europe
TheFirstCutIsTheDeepest,RodStewart
TheFirstSnowflakes,班得瑞
TheGarden,GeorgeWinston
TheMagnificentSeven,erichkunzel
TheMagnificentSeven-Suite,群星
TheMass,Era
TheOneYouLove,GlennFrey
ThePowerOfLove,CélineDion
ThePromise,SecretGarden
TheRain,久石让
TheRaisingFightingSpirit,火影忍者
TheRiddle,FiveForFighting
TheRose,Westlife
TheRose,手嶌葵
TheSaltwaterRoom,OwlCity
TheShadow,宝儿
TheTruthThatYouLeave,pianoboy
TheVeniceDreamer:PartTwo,GeorgeWinston
TheVoiceWithin,ChristinaAguilera
TheWayOfTheWind微风吹拂的方式,Bandari
TheWindmillsOfYourMind,DustySpringfield
ThehillofThieves,CaraDillon
ThemeFromDyingYoung,KennyG
ThereYou'llBe,FaithHill
ThisIsTheNewShit,MarilynManson
ThisLove,Maroon5
ThriftShop,Macklemore&RyanLewis
ThroughTheWire,KanyeWest
TikTok,AvrilLavigne
TillICollapse,"Eminem,NateDogg"
TimeAfterTime,CyndiLauper
TimeInABottle,jimcroce
TimeToSayGoodbye,"AndreaBocelli,SarahBrightman"
TimeToSayGoodbye,"SarahBrightman,AndreaBocelli"
Timeaftertime～花舞う街で～,仓木麻衣
ToBeWithYou,Mr.Big
ToTheSky,OwlCity
"Tonight,IFeelCloseToYou","孙燕姿,仓木麻衣"
TonightIWannaCry,KeithUrban
TooManyBeautifulGirls,SuperJunior
TooMuchBetweenUs,GeorgeWinston
TopOfTheWorld,Carpenters
TouchMyBody,MariahCarey
TrackYouDown,SondreLerche
TravelingLight,JoelHanson
TrueLove,蔡健雅
TrulyMadlyDeeply,SavageGarden
TryToRemember,黎明
TryingTimes,BoyzIIMen
TurnDownForWhat,"DJSnake,LilJon"
TwinkleTwinkleLittleStar,Twins
"TwoDegreesEast,ThreeDegreesWest",JohnLewis
UDriveMeCrazy,NSync
UMakeMeWanna,Blue
UnAngeFrappeAMaPorte,NatashaSt-Pier
UnchainedMelody,TheRighteousBrothers
UnforgivableSinner,LeneMarlin
UntilYou,ShayneWard
UsAgainstTheWorld,Westlife
VideoKilledTheRadioStar,TheBuggles
VisionOfLove,MariahCarey
VoisSurTonChemin,原声大碟
WakaWaka,Shakira
WalkAway,"HighSchoolMusicalCast,VanessaHudgens"
WalkAway,DiaFrampton
WalkingAway,ChianoSky
WalkingInTheAir,AledJones
WayBackIntoLove,HughGrant
WeAreElectric,FlyingSteps
WeAreOne,Westlife
WeAreOne,"Pitbull,JenniferLopez,ClaudiaLeitte"
WeAreTheChampions,Queen
WeAreTheWorld,MichaelJackson
WeBelongTogether,MariahCarey
WeCan'tStop,MileyCyrus
WeDidn'tMoveAMuscle,ANT
WeFoundLove,"Rihanna,CalvinHarris"
WeWishYouAMerryChristmas,Enya
What'sUp?,刘雅婷
WhatAWonderfulWorld,LouisArmstrong
WhatAreWords,ChrisMedina
WhatCanIDo,南拳妈妈
WhatHaveUDone,G.E.M.邓紫棋
WhatI'VeDone,LinkinPark
WhatIsDancing,未知
WhatayaWantFromMe,"张玮,AdamLambert"
WhenAManLovesAWoman,MichaelBolton
WhenI'MGone,Eminem
WhenIFallInLove,"CelineDion,clivegriffin"
WhenWeStandTogether,Nickelback
WhenYou'ReGone,AvrilLavigne
WhenYouBelieve,"WhitneyHouston,MariahCarey"
WhenYouCry,凤凰传奇
WhenYouSayNothingAtAll,RonanKeating
WhenYouSayNothingAtAll,AlisonKrauss
"Whenever,Wherever",Shakira
WhereAreYouNow,GeorgeWinston
WhereDidUGo,邓紫棋
WhereDidUGo,G.E.M.邓紫棋
WhereDidYouGo2.0,G.E.M.邓紫棋
WhoSays,SelenaGomez
WhyWouldIEver,pauladeanda
WildChild,Enya
WishIHadAnAngel,Nightwish
WishYouWereHere,AvrilLavigne
WithAnOrchid,Yanni
WithoutMe,Eminem
WithoutYou,MariahCarey
Won'TGoHomeWithoutYou,Maroon5
WonderfulTonight,EricClapton
YesterdayOnceMore,Carpenters
You'ReBeautiful,JamesBlunt
YouAreBeautiful,韦礼安
YouAreMySunshine,CarlySimon
YouAreTheOne,C21
YouBelongToMe,JasonWade
YouMustLoveMe,Madonna
YouRaiseMeUp,金润吉
YouRaiseMeUp,SecretGarden
a-思乡佛号,佛教音乐
alwayswithme,"久石让,钢琴曲"
badapple,初音未来
beautifullies,b-complex
bootymusic,DeepSide
braveheart,宮崎歩
crossingfield,织部里沙
d-大调卡农,钢琴曲
f;D.O.-GoodbyeSummer),"f,D.O."
itismylife,bonjovi
itsmylife,LinkinPark
jamisoulshe-featmr.bangannie,萨克斯
jinglebells,小蓓蕾组合
kisstherain,李闰珉
londonbridge,小蓓蕾组合
mariaarredondomariaarredond,Burning
maryhadaLittlelamb,小蓓蕾组合
mlk,"龙梅子,WarrenG"
mp3,白狐
onefordamoney,overground
onlymyrailgun,fripSide
prettyboy,英文歌曲
riverflowsinyou,李闰珉
rollinginthedeep,中国好声音
secretbase～君がくれたもの～,Zone
sheisgone,歌浴森
sosorry,简红
wreckingball-dj-davisremix,Frankmusik
x-x/x!x./xx-x0x.x-(x-,乌兰托娅
【交谊舞慢四】空城杨坤】年春晚歌曲,杨坤
あなただけ見つめてる,大黒摩季
一万次悲伤,逃跑计划
一世情缘一世愁,陈瑞
一个人疗伤,带泪的鱼
一个人的北京,山野
一个人的北京,好妹妹乐队
一个人的情歌,"带泪的鱼,MC诺"
一个人的时光,石进
一个人的疗伤,带泪的鱼
一个人的脚步,艾歌
一个人的脚步-2011-house,艾歌
一个像夏天一个像秋天,范玮琪
一个爱上浪漫的人,孟庭苇
一个男人,金钟国
一二三四歌,阎维文
一亿个伤心,蒙面哥
一亿个伤心,网络歌手
一分钱,小蓓蕾组合
一加一等于我爱你,贺世哲
一千个轮回,易丹
一天一天,BIGBANG
一定要爱你,孙露
一封家书,石进
一帅到底,崔健
一曲相送,图桠格
一曲红尘,郭少杰
一段情一段伤,龙梅子
一段情歌一段伤,龙梅子
一片艳阳天,杨钰莹
一物降一物,门丽
一生一世爱一回,闫旭
一生去守候,高安
一生爱你千百回,梅艳芳
一百个放心,张津涤
一起摇吧,谢华
一路不变,温岚
一辈子一场梦,张卫健
一辈子的赌注,祁隆
七滴眼泪,六哲
七秒钟的记忆-苏小小,徐良
三家店-将身儿来至在大街口,于魁智
三步踩,交谊舞曲
三步踩-天高云蓝2008-7,草原歌曲
三生石三生路,阿兰
三轮车-谢小宇,MC
上帝是个女孩,欧美经典
上帝是女孩-钢琴演奏舒缓版,钢琴曲
上邪-唱,小曲儿
下一站是幸福,徐千雅
下辈子不要再遇见你,艾歌
下辈子做你的女人-dj王志rmx,龙梅子
不分手的恋爱-网络歌手完美版,汪苏泷
不想离开,张栋梁
不想让你哭,王强
不愿放手,黑龙
不是因为你美丽我才爱上你DJ版,何龙雨
不是因为寂寞才想你,T.R.Y
不是对不起都换来没关系,李贵府
不是每个恋曲都有美好回忆,林志颖
不是现在,BEAST
不白活一回,毛阿敏
不眠之夜,"Crush,"
不离不弃,"艾歌,丁童"
不管发生什么别放开我的手,"高恺蔚,赵心蕾"
不管有多老,何真真
"不能分手的女人,不能离开的男人",LeeSsang
不能厮守的爱,李泽坚
不能厮守的爱dj版,李泽坚
不要再来伤害我,孙露
不要再来伤害我,张振宇
不要再说你还爱我,冷漠
不要在脸上留下眼泪,"罗百吉,宝贝"
不要对我说,程响
不要对我说无所谓,祁隆
不要认为自己没有用,成龙
不要让爱你的人再受伤,李贵府
不见长安,河图
不该相遇在秋天,程响
不配说爱我,常艾非
且试天下,墨明棋妙
世界名曲,轻音乐
世界第一的公主殿下-miku,初音未来
东京爱情故事-突然发生的爱情主题曲,小田和正
东北东北,张冬玲
东北人都是活雷锋,雪村
东南西北风,李玲玉
东南西北风,卓依婷
东方中国龙,李贵府
两地情缘,"程响,王羽泽"
丫头,王童语
中三傍晚的思念,"龙梅子,草原歌曲"
中国人民解放军军歌,红色摇滚
中国人民解放军进行曲,军歌
中国十大古典名曲之五,"古典音乐,十面埋伏"
中国少年先锋队队歌,中国少年先锋队队歌
中国火,谢华
中国移动,"黑龙,冷漠"
中国节,皆大欢喜
中国马,朱贝贝
中意他,梁咏琪
串烧-11首,周杰伦
串烧舞曲club,ashao
临水照花,"晃儿,墨明棋妙"
丹顶鹤的故事,朱哲琴
"为了你,为了我",Beyond
为了我为了你,任军太
为了谁,"祖海,佟铁鑫"
为了谁,龚玥
为了谁,董文华
为什么你要伤害一个爱你的人,欢子
为什么受伤的总是我,林志颖
为什么相爱的人不能在一起,郑源
为你等待,白玛多吉
为你等待,次仁央宗
为你跑成罗圈腿,阿宝
为梦想领跑,容中尔甲
为龙,河图
主是我力量,基督教歌曲
久别的人,白雪
么么哒,王麟
义勇军进行曲,国歌
乘客,王菲
九九女儿红,陈少华
九夏忧伤,带泪的鱼
九月九的酒,陈少华
九鼎天下,董贞
乡恋,李谷一
二泉吟,董文华
于谦-于谦泡澡,郭德纲
于谦-人在江湖相声专场跨年晚会,郭德纲
于谦-屌丝青年,郭德纲
于谦-弄死你巡演大连,郭德纲
于谦-最新力作爆笑演绎快乐生活,郭德纲
于谦-相声我要旅游德云社,郭德纲
于谦-郭德纲于谦禁播相声小段,郭德纲
亏欠一生,裘海正
云水禅心,古筝佛赞
五哥放羊,阿宝
五百年桑田沧海,龚玥
五百年桑田沧海,丹妮
五百年长海桑田,西游记
亚洲之夜,罗百吉
交响童话,胎教音乐
亲亲老婆,任军太
亲密的爱人,梅艳芳
亲爱的你可知,程响
亲爱的你怎么不在我身边,江美琪
亲爱的姑娘我爱你,草原歌曲
亲爱的嫁给我DJ版,何龙雨
人在旅途,云菲菲
人在旅途,凤飞飞
人情味,"Gary,郑仁"
人生就是一场梦,艾歌
人间情多,李殊
人间正道是沧桑,韩磊
人魚伝説,本多俊之
什么都不想要,简红
今夜我对你想入非非,云菲菲
今夜无眠,周冰倩
今夜无眠,龚玥
今夜舞起来,张冬玲
今天是你的生日,李娜
今天是你的生日我的祖国,董文华
今生有你,龙梅子
今生爱上你,"高安,张渼壹"
今生爱的就是你,祁隆
今生陪你一起走,冷漠
