燕子,范潇匀,齐天大剩,,,,,,,,,,,,
爱的归宿,李玲玉,下辈子还嫁给你 电视原声带,,,,,,,,,,,,
橄榄树(live版),刘彩星,中国好声音第二季 第5期,,,,,,,,,,,,
好久不见,杨永聪,中国梦之声 第13期,,,,,,,,,,,,
记得(live版),李祥祥,中国梦之声 第14期,,,,,,,,,,,,
可爱的一朵玫瑰花(live版),塔斯肯,中国好声音第二季 第5期,,,,,,,,,,,,
让我一次爱个够(live版),妥云福,中国梦之声 第11期,,,,,,,,,,,,
你怎么舍得我难过(live版),阿来,中国梦之声 第12期,,,,,,,,,,,,
眼泪碰石头(电影《武林歌手》插曲),赵洁莹,眼泪碰石头,,,,,,,,,,,,
Yellow(live版),侯磊,中国梦之声 第12期,,,,,,,,,,,,
那些年,阚立文,中国好声音第二季 第2期,,,,,,,,,,,,
你把我灌醉 (Intoxicated),G.E.M. 邓紫棋,你把我灌醉 (Intoxicated),,,,,,,,,,,,
怎样(live版),毅光年,中国好声音第二季 第3期,,,,,,,,,,,,
我在人民广场吃炸鸡(live版),许明明,中国梦之声 第11期,,,,,,,,,,,,
懂事(live版),侯磊,中国好声音第二季 第10期,,,,,,,,,,,,
爱我的请举手,王宇,中国好声音第二季 第2期,,,,,,,,,,,,
夜太黑(live版),田园,中国好声音第二季 第3期,,,,,,,,,,,,
跟着感觉走(live版),李秋泽,中国好声音第二季 第3期,,,,,,,,,,,,
爱很简单,罗中旭,我为歌狂 第10期,,,,,,,,,,,,
I Wanna Rock,刘雅婷,中国好声音第二季 第1期,,,,,,,,,,,,
蒙娜丽莎的眼泪,袁娅维,曾经心痛,,,,,,,,,,,,
时间的漩涡(电视剧《新恋爱时代》片头曲),任重,新恋爱时代 原声大碟,,,,,,,,,,,,
煽情歌,万江,万江首张个人,,,,,,,,,,,,
爱的印记,方薇,爱的印记,,,,,,,,,,,,
叫一声二奶奶(feat. 司徒兰芳),赵小兵,2013年4月网络红歌2,,,,,,,,,,,,
爱到死心塌地,杜蕾,爱到死心塌地,,,,,,,,,,,,
背叛情歌(live版),纪敏佳,我为歌狂 第2期,,,,,,,,,,,,
爱恋(《第十五届全国青年歌手电视大赛复赛》TV Verison),魏伽妮,爱恋,,,,,,,,,,,,
爱金钱更爱美人,张启辉,在线热搜（华语）系列38,,,,,,,,,,,,
你是我的眼(现场版),张玉霞,中国好声音第一季 那英组PK,,,,,,,,,,,,
我们不是说好了吗 (feat. 白百合)(电影《分手合约》主题曲),彭于晏,《分手合约》 电影原声带,,,,,,,,,,,,
燕儿飞 (feat. 王一璠)(电视剧《樱桃红》主题曲),宋小宝,樱桃红 电视原声带,,,,,,,,,,,,
傻笑 (feat. 袁咏琳),周杰伦,十二新作,,,,,,,,,,,,
火焰情歌,红月,2013年3月网络红歌,,,,,,,,,,,,
七秒钟的记忆 (feat. 孙羽幽),徐良,情话,,,,,,,,,,,,
爱你没差,周杰伦,十二新作,,,,,,,,,,,,
爱得好寂寞,安心亚,单身极品,,,,,,,,,,,,
父亲(live版),褚海辰,2013年3月新歌速递,,,,,,,,,,,,
爱太深 (DJ版),子恒,爱.太深,,,,,,,,,,,,
我就要和你在一起(电影《人再囧途之泰囧》插曲),夏筠妍,人再囧途之泰囧 电影原声带,,,,,,,,,,,,
承诺(电视剧《山河恋.美人无泪》片尾曲),袁姗姗,山河恋.美人无泪 电视原声带,,,,,,,,,,,,
故乡的云,西部牛仔,在线热搜（华语）系列73,,,,,,,,,,,,
玫瑰花儿开,男人唐潮,在线热搜（华语）系列73,,,,,,,,,,,,
江南style满身囔囔踹东北版,姜鹏,2012年11月网络红歌4,,,,,,,,,,,,
明明就,周杰伦,十二新作,,,,,,,,,,,,
公公偏头痛,周杰伦,十二新作,,,,,,,,,,,,
大笨钟,周杰伦,十二新作,,,,,,,,,,,,
草原之上,易灵汐,2012年11月网络红歌2,,,,,,,,,,,,
热情的沙漠,俞灏明,在线热搜（华语）系列55,,,,,,,,,,,,
红尘客栈,周杰伦,十二新作,,,,,,,,,,,,
我的心里只有你没有他(live版),邹宏宇,跨年演唱会2012-2013 华语篇3,,,,,,,,,,,,
爱我还是他,王乃恩,中国好声音刘欢组,,,,,,,,,,,,
你是我的眼(live版),毛宁,12种毛宁,,,,,,,,,,,,
花又开好了,S.H.E,花又开好了,,,,,,,,,,,,
鸿雁（复活版）,云杰,中国好声音第6期,,,,,,,,,,,,
贵妃醉酒,王喆 (男),2012年12月新歌速递,,,,,,,,,,,,
鸿雁,云杰,在线热搜（华语）系列21,,,,,,,,,,,,
别在伤口撒盐,王燕,中国好声音第6期,,,,,,,,,,,,
传奇(现场版),张玉霞,中国好声音第一季 那英组PK,,,,,,,,,,,,
滚滚红尘,袁娅维,中国好声音终极考核（上）,,,,,,,,,,,,
爱什么稀罕,刘振宇(女),中国好声音第4期,,,,,,,,,,,,
我是一只小小鸟,赵露,中国好声音第1期,,,,,,,,,,,,
暗香,刘悦,中国好声音刘欢组,,,,,,,,,,,,
枉凝眉,郭彤,2012年10月新歌速递,,,,,,,,,,,,
画板上的梦,宋熙铭,时光中,,,,,,,,,,,,
花房姑娘,魏语诺,中国好声音第5期,,,,,,,,,,,,
我是不是你最疼爱的人,葛林,中国好声音第2期,,,,,,,,,,,,
独上西楼,张玉霞,中国好声音第1期,,,,,,,,,,,,
灰太狼之歌,网络歌手,在线热搜（华语）系列44,,,,,,,,,,,,
你并不懂我,BY2,2020爱你爱你,,,,,,,,,,,,
等你的季节,刘诗诗,步步惊心 原声带,,,,,,,,,,,,
琴伤,周杰伦,惊叹号,,,,,,,,,,,,
爱情装,刁寒,爱情装 EP,,,,,,,,,,,,
安排(《第一次》电影插曲),袁咏琳,第一次 电影原声带,,,,,,,,,,,,
都要微笑好吗(电影《第一次》主题曲),Angelababy,第一次 电影原声带,,,,,,,,,,,,
爱你百分百,覃飞宇,2012年06月网络红歌,,,,,,,,,,,,
肿么办,张小薇,2012年07月网络红歌,,,,,,,,,,,,
途中,黄美珍,途中(珍藏版),,,,,,,,,,,,
生活就像超级玛丽,辛若天,生活就像超级玛丽 EP,,,,,,,,,,,,
简单爱你,天悦,简单爱你,,,,,,,,,,,,
假装我们没爱过(《绝对达令》片尾曲),汪东城,绝对达令 电视原声带,,,,,,,,,,,,
爱你(强档偶像剧《翻糖花园》片尾曲、“唯舞独尊脸书版”推荐曲),陈芳语,Kimberley 首张同名专辑,,,,,,,,,,,,
盼不回最爱的你,何宗龙,2012年05月新歌速递,,,,,,,,,,,,
爱不醒,周诗雅,2011年12月新歌速递,,,,,,,,,,,,
厚脸皮,Ella,我就是…Ella陈嘉桦,,,,,,,,,,,,
我落泪情绪零碎,周杰伦,跨时代,,,,,,,,,,,,
采莲船调,刘一祯,曾经的歌系列 49,,,,,,,,,,,,
登上舞台( 电影《青春失乐  园》插曲),Smile Queen,青春失乐园 电影原声带,,,,,,,,,,,,
眼睛(大玩家 电影主题曲),霍思燕,大玩家 电影原声,,,,,,,,,,,,
爱你不是为了和你去如家,新街口组合,五周年精选,,,,,,,,,,,,
红梅赞,金曼,一人一首成名曲 大陆版,,,,,,,,,,,,
爱是把枪,孙敬媛,2012年03月网络红歌,,,,,,,,,,,,
玫瑰恋人,张斯斯,2012年02月网络红歌,,,,,,,,,,,,
迟来的爱,李茂山,绝对发烧 4,,,,,,,,,,,,
疗伤烧肉粽,周杰伦,惊叹号,,,,,,,,,,,,
爱情骗子,红月,红月 EP,,,,,,,,,,,,
甜蜜蜜,简迷离,2012年02月新歌速递,,,,,,,,,,,,
爱的安检,樱子,2012年02月网络红歌,,,,,,,,,,,,
猜情人(《大魔术师》主题曲),梁朝伟,2011年11月新歌速递,,,,,,,,,,,,
那些花儿,简迷离,2012年02月新歌速递,,,,,,,,,,,,
杜十娘 蒲剧,段红,2012年02月新歌速递,,,,,,,,,,,,
我不会喜欢你(《我可能不会爱你》主题曲),陈柏霖,我可能不会爱你 电视剧原声带,,,,,,,,,,,,
烟花雨,陈文清,2012年02月新歌速递,,,,,,,,,,,,
燃烧 燃烧,东学,2012年02月新歌速递,,,,,,,,,,,,
谁说男人有钱就学坏,常健鸿,谁说男人有钱就学坏,,,,,,,,,,,,
爱上一个有家的人,方圆,2012年02月新歌速递,,,,,,,,,,,,
公主病,周杰伦,惊叹号,,,,,,,,,,,,
世界未末日,周杰伦,惊叹号,,,,,,,,,,,,
熊猫先生,冀涛,11月网络红歌,,,,,,,,,,,,
皮影戏,周杰伦,惊叹号,,,,,,,,,,,,
超跑女神,周杰伦,惊叹号,,,,,,,,,,,,
爱我的每个人,Selina,重做一个梦,,,,,,,,,,,,
水手怕水,周杰伦,惊叹号,,,,,,,,,,,,
相思小舟,王相周,2012年01月新歌速递,,,,,,,,,,,,
混在北京,刘坤山,2011年12月新歌速递,,,,,,,,,,,,
爱情思密达,朴一泽,寻找铁达尼,,,,,,,,,,,,
逆风的蔷薇,弦子,逆风的蔷薇,,,,,,,,,,,,
男人也脆弱,舒方,华语单曲榜,,,,,,,,,,,,
套马杆,乌兰图雅,凤凰飞,,,,,,,,,,,,
惊叹号,周杰伦,惊叹号,,,,,,,,,,,,
迷魂曲,周杰伦,惊叹号,,,,,,,,,,,,
男人帮,张瀚元,2011年10月新歌速递,,,,,,,,,,,,
爱我就别离开我,樱子,2011年10月新歌速递,,,,,,,,,,,,
爱你我错了吗,姚成骏,你是我兄弟,,,,,,,,,,,,
热情的沙漠(演唱会),钟雅颂,在线热搜（华语）系列68,,,,,,,,,,,,
舍不得他,顾莉雅,传世情歌·女声试音天碟Ⅱ,,,,,,,,,,,,
草原上升起不落的太阳,郭彤,在线热搜（华语）系列68,,,,,,,,,,,,
爱的秘方,料理情人梦,料理情人梦,,,,,,,,,,,,
洪湖水浪打浪,金波,曾经的歌系列 22,,,,,,,,,,,,
唱支山歌给党听,金波,在线热搜（华语）系列68,,,,,,,,,,,,
爱到心碎,陈爽,在线热搜（华语）系列68,,,,,,,,,,,,
爱上没良心,景心妍,桂花树之恋,,,,,,,,,,,,
好人好梦(演唱会),吴春燕,在线热搜（华语）系列68,,,,,,,,,,,,
夜电,川岛茉树代,夜电,,,,,,,,,,,,
燕儿翩翩飞,钟舒祺,新还珠格格 电视原声带,,,,,,,,,,,,
bling love,紫薇,Bling,,,,,,,,,,,,
爱的呼唤,吴春燕,渴望 吴春燕 母亲水窖昆明独唱音乐会,,,,,,,,,,,,
在希望的田野上,吴春燕,曾经的歌系列 22,,,,,,,,,,,,
BABY BLOG,少女部落格,在线热搜（华语）系列68,,,,,,,,,,,,
如果没有他你还会爱我吗,六哲,曾经的歌系列 22,,,,,,,,,,,,
人鱼歌姬,孙敬媛,人鱼歌姬,,,,,,,,,,,,
爱了很久痛了很久,杜鑫,爱了很久痛了很久,,,,,,,,,,,,
爱不爱都是错,誓言,曾经的歌系列 22,,,,,,,,,,,,
北京欢迎你,于乃久,曾经的歌系列 22,,,,,,,,,,,,
火山,伍佰 &amp; China Blue,单程车票,,,,,,,,,,,,
爱上你是错还是对,刘鑫悦,曾经的歌系列 22,,,,,,,,,,,,
十送红军(演唱会),袁东方,曾经的歌系列 22,,,,,,,,,,,,
爱上你是错还是对(演唱会),高洪章,曾经的歌系列 22,,,,,,,,,,,,
漂亮的姑娘就要嫁人了(演唱会),高洪章,曾经的歌系列 22,,,,,,,,,,,,
非诚勿扰只为爱,罗蔼轩,曾经的歌系列 22,,,,,,,,,,,,
给我翅膀(演唱会),高洪章,曾经的歌系列 22,,,,,,,,,,,,
舍不得放开你的手,郭媛媛,舍不得,,,,,,,,,,,,
非诚勿扰,张啸,曾经的歌系列 22,,,,,,,,,,,,
男人不坏女人不爱,袁哲,曾经的歌系列 22,,,,,,,,,,,,
2012来了,张啸,曾经的歌系列 22,,,,,,,,,,,,
为了爱离开你,文章,7月网络红歌,,,,,,,,,,,,
小三,郭玲,曾经的歌系列 22,,,,,,,,,,,,
空城,郭媛媛,舍不得,,,,,,,,,,,,
自由自在,郭媛媛,舍不得,,,,,,,,,,,,
绣花鞋,郭媛媛,舍不得,,,,,,,,,,,,
爱不见了,陈美惠,8月网络红歌,,,,,,,,,,,,
那片天空的雨季(新版),葛本军,那片天空的雨季,,,,,,,,,,,,
红旗飘飘,李杰,百年唱片,,,,,,,,,,,,
十送红军,张妍,曾经的歌系列 22,,,,,,,,,,,,
爱情可遇不可求,李杰,曾经的歌系列 22,,,,,,,,,,,,
爱有路可退,飞儿乐团,亚特兰提斯,,,,,,,,,,,,
爱你爱到骨头里,余润泽,今生注定爱上你,,,,,,,,,,,,
麦烝玮(我叫小麦),周杰伦,乐酷?概念合辑,,,,,,,,,,,,
黑色幽默(live版),周杰伦,The One演唱会,,,,,,,,,,,,
至少还有爱,易秀明珠,至少还有爱（EP),,,,,,,,,,,,
世界上唯一的花(世界に一つだけ),SMAP,SMAP AID,,,,,,,,,,,,
爱与不爱,吴贞,12月网络红歌,,,,,,,,,,,,
天亮了,S.H.E,我的电台 FM S.H.E,,,,,,,,,,,,
爱我就跟我走,大刚,曾经的歌系列 22,,,,,,,,,,,,
见与不见,罗中旭,史上最伤感的网络情歌,,,,,,,,,,,,
爱在记忆中找你(live版),林峰,Come 2 Me [Live],,,,,,,,,,,,
我只在乎你,Rubber Band,Dedicated To...,,,,,,,,,,,,
飘雪,郭彤,在线热搜（华语）系列60,,,,,,,,,,,,
灰太狼的悲伤,马雨贤,曾经的歌系列 22,,,,,,,,,,,,
真的无所谓,熊七梅,4月网络红歌,,,,,,,,,,,,
泪光闪烁,飞儿乐团,亚特兰提斯,,,,,,,,,,,,
让爱重生,飞儿乐团,亚特兰提斯,,,,,,,,,,,,
千里之外,周杰伦,06年8月最新单曲抢听I,,,,,,,,,,,,
没有车没有房,孙辉,网络情歌最伤感,,,,,,,,,,,,
爱上草原爱上你,琪琪格,12月网络红歌,,,,,,,,,,,,
无法原谅(《回家的诱惑》主题曲),李佳璐,3月网络红歌 2,,,,,,,,,,,,
爱的飞行日记(live版),周杰伦,The Era 2010 超时代演唱会,,,,,,,,,,,,
Take me,张根硕,Take?me,,,,,,,,,,,,
我从来不懂你的幽默,杨乃文,Zero,,,,,,,,,,,,
Light up the way,飞儿乐团,Better Life,,,,,,,,,,,,
想归想,欧汉声,This is O.D,,,,,,,,,,,,
未接来电,杨乃文,Zero,,,,,,,,,,,,
I Remember,飞儿乐团,Better Life,,,,,,,,,,,,
无尽闪亮的哀愁,伍佰 &amp; China Blue,无尽闪亮的哀愁,,,,,,,,,,,,
我的我自己(Me &amp; I),王诗安,你好吗Love Lesson,,,,,,,,,,,,
Waiting For Your Love,付辛博,MR.X,,,,,,,,,,,,
Sorry(韩剧《想你》片尾曲),陈妍希,"Me,Myself,And I",,,,,,,,,,,,
后来后来,S.H.E,花又开好了,,,,,,,,,,,,
方向,陈妍希,"Me,Myself,And I",,,,,,,,,,,,
GYM,自由发挥,跨出界,,,,,,,,,,,,
证明(《証》中文版),Flumpool,Experience (台湾版),,,,,,,,,,,,
这几天,宋念宇,再一次 (感谢珍藏盘),,,,,,,,,,,,
我们都在等待,安心亚,单身极品,,,,,,,,,,,,
比较大的大提琴(feat. 梁心颐 &amp; 杨瑞代),周杰伦,十二新作,,,,,,,,,,,,
没有你的明天,安心亚,单身极品,,,,,,,,,,,,
麦田捕手,白安,麦田捕手,,,,,,,,,,,,
过渡期,宋念宇,再一次,,,,,,,,,,,,
是什么让我遇见这样的你,白安,麦田捕手,,,,,,,,,,,,
一直一直爱,Popu Lady,一直一直爱,,,,,,,,,,,,
像女孩的女人(三立偶像剧《天使的替身》片头曲),S.H.E,花又开好了,,,,,,,,,,,,
一个光年的距离,宋念宇,再一次,,,,,,,,,,,,
Dying for love,Dream Girls（台湾）,Girl’s Talk,,,,,,,,,,,,
爱你为什么,MIXION,MIXION同名EP,,,,,,,,,,,,
心还是热的(7-11心热园电视广告歌),S.H.E,花又开好了,,,,,,,,,,,,
断,太妃堂,太妃堂,,,,,,,,,,,,
纪念日,炎亚纶,纪念日,,,,,,,,,,,,
自由灵魂,梁心颐,自由灵魂,,,,,,,,,,,,
5:37,No Name（港台）,537,,,,,,,,,,,,
可能你还爱我,炎亚纶,纪念日,,,,,,,,,,,,
Love Me Now,郑家星,首张中文EP,,,,,,,,,,,,
我是个骗子,林逸欣,作对,,,,,,,,,,,,
Don&#39;t cry(电影《西门町》主题曲),安心亚,西门町 电影原声带,,,,,,,,,,,,
唯舞(网游《唯舞独尊》主题曲),安心亚,单身极品,,,,,,,,,,,,
Let&#39;s Go,4ever,4ever同名EP,,,,,,,,,,,,
找你的地图,4ever,4ever同名EP,,,,,,,,,,,,
约翰淑敏,舒米恩,阿米斯,,,,,,,,,,,,
最好的结局,八三夭乐团,最后的8/31,,,,,,,,,,,,
树风,黄美珍,途中(珍藏版),,,,,,,,,,,,
爱我像从前一样,Roomie,Super Lover,,,,,,,,,,,,
懂我再爱我,Ella,我就是…Ella陈嘉桦,,,,,,,,,,,,
想要跟你飞,凤飞飞,爱情部落格2之因爱而声,,,,,,,,,,,,
别把爱惊醒,痞子英雄首部曲:全面开战 OST,痞子英雄首部曲:全面开战,,,,,,,,,,,,
作对 (电影片头曲),痞子英雄首部曲:全面开战 OST,痞子英雄首部曲:全面开战,,,,,,,,,,,,
小太阳的愿望,自由发挥,自由发挥第二弹电影原声带,,,,,,,,,,,,
上空河马,自由发挥,自由发挥第二弹电影原声带,,,,,,,,,,,,
给天天,karey天天,天天同名专辑,,,,,,,,,,,,
心跳,弦子,逆风的蔷薇,,,,,,,,,,,,
心里有数,弦子,逆风的蔷薇,,,,,,,,,,,,
从未忘记,叶文辉,2011年8月新歌速递2,,,,,,,,,,,,
魂内伤,王若琪,2011年12月新歌速递,,,,,,,,,,,,
命理迷,迪子,爱.幻想,,,,,,,,,,,,
Taiwan,刘景庄,Taiwan,,,,,,,,,,,,
我是幸福的,蔡黄汝,情豆花开,,,,,,,,,,,,
告白,蔡黄汝,情豆花开,,,,,,,,,,,,
电司(DANCE),LOLLIPOP@F,电司(DANCE),,,,,,,,,,,,
有没有,BY2,90&#39;闹Now,,,,,,,,,,,,
Brand New Day,袁咏琳,2 be Different,,,,,,,,,,,,
空气人形,蔡黄汝,情豆花开,,,,,,,,,,,,
陷阱,袁咏琳,2 be Different,,,,,,,,,,,,
我可以很勇敢,安心亚,恶女,,,,,,,,,,,,
最最喜欢你,东于哲,最最喜欢 东于哲,,,,,,,,,,,,
天眼通,何超仪,天眼,,,,,,,,,,,,
