是否,邓紫棋
晚风,好妹妹乐队
晨星,许巍
暖心,郁可唯
暗光,温蕊尔
暗香,韩磊
暧昧,李祥祥
暮趴,黄晓明
暴走,"王栎鑫,张杰"
曙光,娃娃
曝光,王晶
更好,斯琴高丽
更爱,潘辰
最初,赵传
最爱,李祥祥
最爱,杨宗纬
最美,"陈羽凡,胡海泉"
月光,羽泉
月光,魏晨
月出,朱哲琴
朋友,周华健
望乡,满文军
望爱,穆婷婷
未来,魏晨
本能,尹姝贻
枯荣,林忆莲
枷锁,黑豹乐队
柿子,林忆莲
桐花,钟欣桐
梦想,周楚霏
梦田,水木年华
梦田,"齐秦,齐豫"
椰壳,方大同
楼道,刘美麟
欣赏,李欣汝
步步,五月天
武装,江映蓉
残爱,徐佳莹
残缺,李炜
民生,成龙
民生,豆豆
民生,成龙+刘媛媛
沉淀,李霄云
沉香,沙宝亮
沐阳,王洋
沐阳,演员王洋
沐阳,王洋(演员)
沙滩,"范玮琪,曾静玟"
沙话,阿悄
没收,戚薇
沦陷,信
泡沫,简红
泡沫,邓紫棋
泡沫,G.E.M.邓紫棋
波爷,"周杰伦,曾志伟,麦烝玮,雪糕,袁咏琳"
泪河,希亚zya
泼墨,"周华健,张大春"
洁癖,"严爵,五月天"
活着,郝云
活着,谢安琪
活该,容祖儿
流年,宾俊杰
流恋,"吴奇隆,严艺丹"
流恋,吴奇隆/严艺丹
流感,大嘴巴
浮光,陈楚生
浮夸,林志炫
涟漪,陈绮贞
清唱,塔斯肯
清心,朴文哲
清水,光良
清空,泳儿
渡口,潘辰
温暖,姚晨
溺爱,本兮
滚动,张靓颖
滚吧,莫龙丹
满满,王铮亮/梁文音
漂亮,江映蓉
漂流,张恒远
澎湃,容祖儿
火山,伍佰
灯塔,彭坦
灰鸟,灰子
烟火,陈翔
烟火,黎明
热情,田馥甄
热浪,"姚旭之,罗熙杰"
热雪,魏晨
焦点,陈楚生
爆掉,任贤齐
爱上,小宇
爱人,胡海泉
爱你,柯有伦
爱吧,崔天琪
爱囚,庄心妍
爱情,许巍
爱情,田馥甄
爱我,李翊君
爱爱,王啸坤
爱神,"钟汉良,胡杨林"
爱过,安以轩
爱过,陈楚生
爱过,安以轩+陈楚生
父亲,筷子兄弟
爸爸,张赫宣
牵手,"丁泽强,徐林"
狂热,苏打绿
独男,古巨基
猜心,胡俊铭
王妃,徐云霄
玩乐,方大同
玩笑,刘瑞琦
玩笑,萧亚轩
现在,莫龙丹
玻璃,蔡淳佳
珍惜,李宇春
珍爱,rain
理想,赵雷
琉璃,孟庭苇
瓶颈,徐佳莹
男神,柳岩
画壁,"孙俪,邓超"
画沙,周杰伦
画沙,周杰伦/袁咏琳
画面,"梁晓雪,牛奶咖啡"
留香,吴奇隆
痛快,孙楠
痛快,王野
痴梦,黄英
皖梦,慕容晓晓
盛开,玖月奇迹
盲爱,"刘德华,郑秀文"
直觉,梁静茹
看海,莫艳琳
真爱,孙自佑
眼色,多亮
眼色,李立宇
着魔,张杰
瞬间,孙悦
矜持,宾俊杰
知己,蔡卓妍
短发,"范玮琪,胡维纳"
破晓,谭赟
破相,容祖儿
碎片,李炆
礼物,刘力扬
禁区,迪克牛仔
离人,刘思涵
离人,许艺娜
离凰,成青
离岛,林一峰
离愁,邢继光
离殇,小5
私奔,梁博
私奔,刘明辉
私游,李霄云
秋蝉,"毛宁,麦子杰"
秘境,木江子组合
稻香,Hope组合
空城,杨坤
空房,杨坤
空港,容祖儿
立秋,周子琰
童年,黑豹乐队
笑话,王啸坤
等待,朱帅
等待,韩磊
等待,"侯磊,朱国武"
答案,沙宝亮
答案,"杨坤,郭采洁"
答案,"郭采洁,杨坤"
粉末,李宇春
粘人,二手玫瑰
素颜,twins
纹身,周华健
终于,秦岚
经过,张婧
经过,"何洁,陈楚生"
绑架,twins
绒花,平安
结果,郑秀文
给爱,"周艳泓,林依轮"
绿动,陈楚生
缘分,Mi2
缘来,"王铮亮,潘辰"
缺口,庾澄庆
罪人,李克勤
美人,李玉刚
美景,电影原声
翅膀,付辛博
翅膀,林依晨
耳朵,林宥嘉
肋骨,周笔畅
肩膀,多亮
肩膀,张信哲
背叛,曹格
背叛,陈一玲
胡闹,吴克群
自由,平安
自由,尹熙水
自由,张韶涵
舞台,弦子
艳遇,"李泉,李昕芸"
花儿,周华健
花心,信
花沙,游鸿明
花泪,栋梁
花甲,后弦
花魁,周旖喆
苦瓜,陈奕迅
范儿,大张伟
茉莉,黄雅莉
茶汤,郁可唯
荣光,叶世荣
落寞,品冠
落幕,蛋堡
落花,林心如
葬心,郁可唯
蓝光,胡歌
蓝天,成龙
虐心,"徐良,孙羽幽"
虐心,徐良
蚂蚁,古巨基
蜀绣,李宇春
蜂蜜,范玮琪
蜗牛,张捷
觉醒,赵薇
解放,羽泉
解脱,吴莫愁
认了,姚笛
记得,李祥祥
记忆,方力申
许愿,武艺
证明,flumpool
误会,飞轮海
谢幕,侃侃
谣言,陈冠希
贝贝,林采欣
贪图,李代沫
走了,王啸坤
走失,张婧
走！,周笔畅
起初,邰正宵
趁我,信
趁早,周笔畅
趁早,孙伯纶
趁早,"许诺,包文熙"
超错,陈奕迅
跑调,赖伟锋
距离,林俊杰
路过,郑虹
车票,旭日阳刚
轮廓,苏醒
轻轻,本兮
还在,至上励合
还我,S.H.E
远方,郁可唯
远歌,黄英
迷你,张学友
迷悟,王铮亮
追寻,孙楠
追寻,平安
送别,朴树
送别,赵文
送别,韩磊
送别,王馨悦
逆战,张杰
逆流,黄耀明
逆风,徐海星
逍遥,霍建华
遇见,张瑶
遇见,林一峰
遇见,谭维维
遗忘,杨洋
邂逅,"徐良,杨洋"
那秋,丁炜
那谁,苏永康
配角,sara
酒歌,木江子组合
醒了,戴爱玲
野花,成青
野花,伍思凯
铃铃,"萧敬腾,范玮琪"
错爱,庄心妍
错过,王铮亮
长大,陈乃荣
长椅,刘若英
阴谋,
阿福,陈楚生
难道,陈楚生
雨爱,杨丞琳
雪人,
零度,张敬轩
青春,韩红
青葱,何韵诗
青蛇,
青蛇,墨明棋妙
静电,胡夏
靠近,罗震环
面具,Star4
顽石,林峰
预感,周笔畅
预谋,许佳慧
领悟,张杰
风光,尚雯婕
风声,黄晓明
风度,汪苏泷
风景,曾轶可
风象,钟欣桐
飞天,凤凰传奇
飞舞,"信乐团,王冰洋"
飞花,刘恺威
飞蛾,羽泉
骗子,戈锐
高地,汪峰
鱼儿,鲁向卉
鸟人,乌拉多恩
鸿雁,云杰/布仁巴雅尔
默认,王铮亮
默默,品冠
龙文,陈奕迅
龙鳞,张杰
？？,Eru
？？,？？
？？,Crayon Pop
？？,孝琳(Sistar)
？？,"Eric Nam,？？ - Infinite"
30 Sexy,Rain
A Tempo,孙佳仁
Breathe,Backstreet Boys
Chicago,Michael Jackson
Darling,梁心颐
Darling,Girl's Day
Diamond,INFINITE
Forever,吴建豪
Freedom,Nicki Minaj
GOOD爱,欧弟
Hello-C,李玟
Heritor,韩国原声带
Hold Me,Tom Odell
I Swear,"萧敬腾,B51造音乐团"
I Would,Henry
Imagine,G.E.M. 邓紫棋
Jealous,Beyonce
Joa Yo!,AOA
LUV XXX,Aerosmith
My Eyes,魏晨
My Life,50 Cent/Eminem/Adam Levine
New Day,Alicia Keys
Oh Baby,梁文音
One Way,Trans Fixion
Opening,华语群星
Promise,少女时代
Rise…,东方神起
Running,陈冠希
Special,李夏怡
Talking,梁心颐
Trouble,Leona Lewis
V SPACE,魏晨
Warrior,Ke$ha
X-Party,MIC
history,exo-m
o-ley-o,尚雯婕
twinkle,少女时代-太蒂徐
画心2,张靓颖
迟d见,黎明
18 Years,"苏志燮,启明星"
3-7-20-1,何大为
80年代,青鸟飞鱼
American,Lana Del Rey
Bad Girl,"Marilyn Manson,Avril Lavigne"
Be A Boy,Robbie Williams
Birthday,Selena Gomez & The Scene
Dream On,熊汝霖
Drenched,曲婉婷
Fireball,"Pitbull,John Ryan"
Hangover,"Psy,Snoop Dogg"
Hello欢,赵奕欢
Ice Baby,TINY-G
La La La,"Shakira,Carlinhos Brown"
Love You,金宇宙
Lovebird,Leona Lewis
Ma Style,Miss A
No Limit,李珉宇
Only One,宝儿
Precious,梁晓雪
Say Yeah,龙飞龙泽
Season 2,INFINITE
Spoonful,吉克隽逸
Sunshine,B1A4
Super Mo,吴莫愁
The Star,EXO
Together,陈伟霆
U Got Me,GOT7
With You,窦靖童
With You,"周笔畅,Epik High"
deadline,张敬轩
for love,陈冠希
love u 2,陈伟霆
marry me,金贤重
say yeah,蓝心湄
爱 2013,杨谨
Apologize,James
Beautiful,Sweet Sorrow
Beautiful,安室奈美惠
Beep Beep,少女时代
Blackbird,Dido
Brand New,Pharrell Williams
Come 2 Me,林峰
D-D-Dance,The Royal Concept
Delicious,Toheart(WooHyun&Key)
Different,Robbie Williams
Dr. Jolin,蔡依林
Follow Me,
Follow Me,INFINITE
Gentleman,Psy
Gentleman,"戴爱玲,Victor Lau"
Get To Me,Lady Antebellum
God Storm,纯音乐
HUMANOIDS,东方神起
I can fly,陈冠希
I'm sorry,CNBLUE
Iron Girl,"HA:TFELT,惠林 (Wonder Girls)"
It's Over,刘忻
Lady Lady,魏晨
Let It Go,Demi lovato
Let It Go,"Various Artists,Marsha Milan Londoh,Willemijn Verk"
Let It Go,"Marsha Milan Londoh,Willemijn Verkaik,Nadezhda Pan"
Lights Up,方大同
Love Is U,miss A
Love Life,周杰伦
Madeleine,Backstreet Boys
Marry You,K.Will
Moonshine,Bruno Mars
Nightmare,SHINee
One Woman,张靓颖
Porn Star,海龟先生
Rather Be,"Jess Glynne,Clean Bandit"
Rebellion,"Linkin Park,Daron Malakian "
Right Now,Rihanna
SURFBOARD,Cody Simpson
Slow Down,Selena Gomez & The Scene
Something,Girl's Day
Sparkling,尚雯婕
Super Boy,金志文
Thank You,张国荣
That High,"Pitbull,Kelly Rowland"
This game,鈴木このみ
Tico Tico,"Bebel Gilberto,朗朗"
Unlove Me,Leona Lewis
WHYWHYWHY,棉花糖
butterfly,Christina Perri
happy day,彭冠英
lady luck,何洁
let me go,苍井空
love song,阿兰
slip away,刘德华
your body,christina aguilera
一个人,"黄铃凯,吴青峰"
一剪梅,"胡彦斌,黄小琥"
一开始,刘心
一片痴,李治廷
一直走,张婧
七字绝,孟文豪
万物生,AK人声
万花瞳,蔡依林
三分拍,张学友
三脚歌,木江子组合
三角心,李玟
下雨天,武艺
不一样,刘雨潼
不值得,曾一鸣
不再见,陈学冬
不小心,贺世哲
不想醒,刘思涵
不是爱,吴莫愁
不正常,萧敬腾
不要脸,艾梦萌
两生关,谢安琪
中国山,钟汉良
为了爱,"刘庭羽,陆昱霖"
为什么,蔡卓妍
为什么,薛之谦
习惯说,陈奕迅
二减一,蔡卓妍
人人爱,陈奕迅
他们说,韩雪
他的猫,"徐良,杨曦"
会不会,本兮
会不会,杨坤
你就是,方大同
你懂得,小沈阳/沈春阳
你懂的,孟文豪
你懂的,"金莎,后弦"
你懂的,"李贵府,乐乐"
你的海,侧田
你走后,杨坤
修仙缘,陈楚生
倾听我,林心如
假动作,房祖名
偏执面,"张惠妹,蛋堡"
做自己,丁克森
兄弟酒,星阁
八月号,薛凯琪
兰花指,阿里郎
别说出,艾怡良
别问我,韦礼安
前生缘,李贵府
剪不断,戴佩妮
动物园,马飞
勇敢爱,Mi2
勇敢爱,张靓颖
勇敢爱,阮经天
勿忘我,陶喆
化妆师,李霄云
十三点,容祖儿
十二楼,杨宗纬
千岁寒,曹轩宾
千百度,许嵩
单面镜,周笔畅
南山南,马頔
南澜掌,曹方
卷珠帘,蔡明
卷珠帘,霍尊
卷珠帘,"霍尊,费玉清"
厚脸皮,ella陈嘉桦
去大理,郝云
只有你,黄绮珊
叫醒爱,何润东
叶枯过,陶晶莹
同学会,罗大佑
后 (？),J-Min
向阳花,汪峰
吵架歌,"汪苏泷,Hari"
告诉他,曾轶可
咬咬你,苍井空
哈你歌,"庾澄庆,徐熙娣"
响聊聊,李响
唐古拉,王麟
喜欢你,G.E.M.邓紫棋
噢买尬,李晟
四季圈,陈奕迅
回娘家,中国娃娃
因为你,B1A4
圣诞结,陈奕迅
在一起,羽泉
在一起,胡彦斌
在一起,"钟欣桐,胡彦斌"
坏东西,二手玫瑰
坏天使,江映蓉
坏女孩,ella陈嘉桦
垓下歌,吉杰
复制人,江映蓉
外婆桥,江一燕
夜了天,木江子组合
夜来香,刘惜君
夜玫瑰,尚雯婕
大声唱,凤凰传奇
大太阳,黄英
大导演,赵薇
大桥上,汪峰
大笨钟,王菀之
大风暴,蔡卓妍
天净沙,沙宝亮
天地鉴,常石磊
天然呆,后弦
天神纪,茜拉
天空下,范玮琪
天黑黑,胡彦斌
太疯癫,刘恺威
套马杆,"乌兰图雅,乌日娜"
女人帮,江映蓉
女儿情,芙蓉姐姐
女儿贼,孟庭苇
女儿雄,梁咏琪
女战神,爱戴
女朋友,冷碗碗
女汉子,王麟
好时光,"霍建华,丁当"
好男人,张赫宣
好男儿,韩磊
好男儿,小沈阳
如果你,谭维维
如果爱,颜羽
如梦令,蔡琴
如梦令,韩庚
如梦令,杨钰莹
姑苏台,张煜枫
娃娃脸,后弦
嫁东风,周艳泓
孤儿泪,刘德华
安和桥,宋冬野
寂寞夜,彦磊
富万代,古巨基
寒江雪,郑源
将进酒,宋祖英
小世界,季欣霈
小声音,郭静
小妹妹,黄英
小情歌,王琪玮
小情歌,苏打绿
小情歌,多亮/周笔畅
小时候,苏打绿
小样儿,安又琪
小白杨,孟文豪
小白脸,谢容儿/侯皓中
小美人,崔子格
小苹果,筷子兄弟
就现在,吴莫愁
山楂树,常石磊
山楂花,陈楚生
山水缘,汤潮
崇拜你,刘力扬
差一步,丁当
带着爱,苏有朋
平安夜,平安
幸福糖,王澜霏
幸运星,牛奶咖啡
幼稚完,林峰
幽兰操,王菲
幽默感,范晓萱
开笼雀,王菀之
开门红,"霍尊,艾菲"
彼得潘,EXO-M
往前飞,A-Lin
很安静,飞轮海
很有爱,后弦
微情歌,孙子涵
徽常美,慕容晓晓
心世界,苏醒
忘尘谷,刘珂矣
忘情水,"胡海泉,田斯斯"
快乐送,"吴莫愁,庾澄庆,艾菲,黄晓明"
快枪手,杨坤
怎么办,朱杰
怎样爱,阿正
怕安静,罗志祥
恋后感,古巨基
恐慌症,卓文萱
悄悄话,卓依婷
情人节,刘心
想你啦,"龙梅子,冷漠"
想你笑,黄雅莉
想太多,尹熙水
想归想,欧弟
想念式,苏醒
想要爱,许艺娜
感情戏,林董
慕容雪,薛凯琪
慢慢来,琳琳
我不缺,韩庚
我以为,王珞丹
我以为,胡彦斌
我们俩,郭顶
我在这,张杰
我忘了,张赫宣
我想爱,魏晨
我想爱,杨丞琳
我愿意,陶喆
我懂了,金莎
我最宅,"苍井空,果宝酱JAM"
我期待,许艺娜
我滴神,大张伟
我爱你,叶秉桓
我的城,常石磊
我相信,罗琦
我相信,吴莫愁
我相信,张靓颖
我相信,中国好声音学员
我陪你,张芸京
手掌心,丁当
打喷嚏,严爵
打架舞,"周杰伦,柯有伦,宋健彰,黄俊郎"
找自己,木江子组合
找自己,"李龙,MIC男团"
抱紧你,萧亚轩
拆东墙,许嵩
拉拉队,徐佳莹
拉萨谣,央吉玛
拖延症,品冠
指甲油,庾澄庆
搜神记,容祖儿
摇篮曲,回音哥
撸啊撸,单小源
收留我,s.h.e
放开爱,戚薇
故乡梦,容中尔甲
斑马线,唐朝乐队
斗战神,陈奕迅
斗零踭,杨千嬅
斯诺克,付辛博
新的家,曾轶可
新鲜爱,周楚霏
方向？,陈妍希
无名花,蹇红
无底线,本兮
无所谓,杨坤
无缘罪,泳儿
无？果,严艺丹
旧时光,Sara
早上好,牛奶咖啡
星辰变,吴克群
映山红,黄英
春天里,汪峰
春来了,刘相松
是时候,孙燕姿
晚安曲,陈珊妮
晚林枫,张朴浩
暖暖手,郭书瑶
暖暖手,郭书瑶+井柏然
最美的,温岚
月亮说,王菀之
有一天,游艺湉
有你在,吴建豪
有我在,胡宇崴
有时候,张靓颖
有没有,张靓颖
朋友样,丁炜
服不服,王麟
望远方,陈柏宇
木兰情,孙燕姿
木兰星,张靓颖
末班车,刘思涵
枫叶情,孟文豪
桃花扇,汪苏泷
梦想家,金志文
梦燃烧,刘嘉亮
梦缠绵,"庄心妍,冷漠"
梦醒了,金池
樱花舞,曹轩宾
橄榄树,朱帅
橄榄树,央吉玛
歌未央,杨宗纬
正能量,林志颖
比较爱,梁静茹
毕业歌,BOBO
水瓶男,伍华
没关系,吴克群
没时间,牛奶咖啡
没有人,阿悄
油菜花,成龙
流星雨,吴莫愁
流浪记,李祥祥
流浪记,"张捷,李祥祥"
流浪记,"吉克隽逸,谢安琪"
浅彩虹,曹方
深深爱,文杰
游戏机,马飞
滴滴滴,许哲佩
漂流木,"谢沛恩,韦礼安"
漂流瓶,张靓颖
漂流瓶,柯震东
炼凝香,香香
热辣辣,张学友
燕儿飞,"宋小宝,王一璠"
爱不爱,王心凌
爱与罪,黄绮珊
爱作战,何韵诗
爱别离,刘惜君
爱多少,洪辰
爱如电,谭晶
爱引力,唐嫣
爱很美,sara
爱很美,sara 刘佳
爱情啊,梁晓雪
爱情路,郑源
爱最大,"谢霆锋,廿四味"
爱来依,回音哥
爱极限,许慧欣
爱火烧,大张伟
爱爱爱,颜小健
爱相随,周华健
爱笑了,林忆莲
爱转动,"肖洒,唐一嘉"
爽歪歪,大张伟
牧马人,杨坤/丁丁/平安/金志文/关喆
狂想曲,谢安琪
狠狠哭,郭采洁
狠狠爱,"丁于,王琪玮"
独角戏,游鸿明
狮子吼,罗志祥
王见王,"罗志祥,杨丞琳"
玫瑰香,"范玮琪,胡维纳"
生还者,蔡卓妍
田园香,
男人歌,"小沈阳,高进"
男人泪,言承旭
留下来,金莎
留言墙,twins
痴情冢,贾青
白兰花,林俊杰
白娘子,王麟
白月光,白若溪
白白的,张韶涵
百变摇,大张伟
相信你,张震岳
相信我,零点乐队
相思垢,金莎
相思曲,张嘉倪
相思网,"崔子格,徐誉滕"
相见欢,"熊汝霖,姚贝娜"
看我的,任贤齐
真的吗,"萧敬腾,刘锦泽"
秋意浓,林俊逸
秋意浓,胡彦斌
秦淮景,徐惠芬
空白格,李立宇
第一课,韩庚
第七感,张靓颖
第二梦,苍井空
笼中鸟,谢天笑
等不来,李魏西
粗线条,林育群
紧箍咒,尚雯婕
