10minutes-韩国歌曲,李孝利
BrownEyes,LadyGaga
BurningInTheSkies,LinkinPark
Burnitdown,LinkinPark
Business,Eminem
Butter-Fly,和田光司
ByTheWay,RedHotChiliPeppers
ByeBye,MariahCarey
ByeByeBeautiful,Nightwish
CaliforniaDreaming,TheMamas&ThePapas
CaliforniaDreaming,North
CaliforniaGurls,"KatyPerry,SnoopDogg"
CaliforniaKingBed,Rihanna
CallYouTonight,WhitneyHouston
Callyourname,泽野弘之
Can'TGetOverYou,GrooveCoverage
Can'TTakeMyEyesOffYou,王若琳
Can'tRemembertoForgetYou,Shakira
CanTGetYouOutOfMyHead(ExtendedMix),KylieMinogue
CanYouFeelIt,JeanRoch
CanYouFeelMyWorld,王力宏
CanYouFeelTheLoveTonight,EltonJohn
CanonInD-II,"Pachelbel,RenaissanceEnsemble"
CanonandGigueinDmajorfor3violinsandbassocontinuo,VariousArtists
Can’tHoldUs,Macklemore&RyanLewis
CarelessWhisper,GeorgeMichael
CeFrumoasaEIubirea,Giulia
ChariotsOfFire,Vangelis
ChildhooodMemory（儿时记忆）,Bandari
ChristmasInMyHeart,SarahConnor
CloseToYou,Carpenters
ColdAsYou,TaylorSwift
ColorfulDays,朴树
ComeAndGetYourLove,Redbone
ComingHome,DiddyDirtyMoney
ConquestOfParadise,Vangelis
CouldThisBeLove,VictoriaAcosta
CountOnMe,BrunoMars
CountYourLastBlessings,Sum41
CrazyInLove,Beyonce
CrazyKids,Ke$ha
Creepin'UpOnYou,DarrenHayes
CroatianRhapsody(克罗地亚狂想曲),Maksim
CryOnMyShoulder,DeutschlandsuchtdenSuperstar
DJ版漂亮的姑娘就要嫁人啦,"龙梅子,老猫"
DaDaDa,王心凌
DancingInTheRain,水木年华
DanzaKuduro,DonOmar
DarkParadise,LanaDelRey
DearFriend,顺子
DjGotUsFallin'InLove,"Usher,Pitbull,Hypercrush"
DjGotUsFallin'InLove,"Usher,Pitbull"
Dj舞曲凤舞九天,群星
DoYouWanttoBuildaSnowman,"KristenBell,AgathaLeeMonn"
Don'TCry,GunsN'Roses
Don'TWannaGoHome,JasonDerulo
DonGiovanni,RichardClayderman
DonTBreakMyHeart,黑豹乐队
DonTKnowWhy,NorahJones
DonTTreatMeLikeAFool,Blue
Don’TTurnOffTheLights,EnriqueIglesias
Doo-Be-Di-Boy,Smile
DragonRider,TwoStepsFromHell
"Drama,Love&'Lationships",Babyface
DreamingInTheMoonlight梦于月光中,Bandari
DreamsWillNeverDie,Isgaard
DuHast,rammstein
DyingInTheSun,TheCranberries
DyingInTheSun,TheCranberries
D大调嬉游曲,胎教音乐
EPensoate,RichardClayderman
EXEC_COSMOFLIPS_.,吉田亚纪子
EarthSong,MichaelJackson
EasyComeEasyGo,"蔡健雅,MCHotdog"
EchoesOfTheRainbow,李治廷
EenieMeenie(FeatSeanKingston),"JustinBieber,SeanKingston"
"Eh,Eh(NothingElseICanSay)",LadyGaga
EinkleinesLied,candee
ElectricRomeo,ImmediateMusic
EndCredits,HansZimmer
Europa(???）,少女时代
EveryBreathYouTake,"田园,唐荭菲"
EveryBreathYouTake,ThePolice
EverybodyHurts,AvrilLavigne
EverythingHasChanged,TaylorSwift
EyesOnMe,王菲
FadeToBlack,Metallica
FairyTale,ToniBraxton
FallinForYou,ColbieCaillat
FallingSlowly,LindaEder
FeelThisMoment,"Pitbull,ChristinaAguilera"
FindTheWay,中岛美嘉
FirstLove,宇多田光
FirstLove(feat.EB)(初恋),T-ara
FiveHundredMiles,"JustinTimberlake,StarkSands,CareyMulligan"
FlowerDance,DJOKAWARI
FlyAway,飞儿乐团
FootballKids,Club8
FootprintsInTheSand,LeonaLewis
FootprintsInTheSand,萱萱
ForNoReason,王若琳
ForbiddenLove(日剧《二千年之恋》配乐),神思者
ForeverLove（声动亚洲）,茜拉
FortheFirstTimeinForever,VariousArtists
FortheWin,TwoStepsFromHell
FragrantFields,GeorgeWinston
FreeLoop,DanielPowter
FucKin'Perfect,Pink
FuckYou,LilyAllen
Funrun,胡彦斌
GALAXYSUPERNOVA(PVFULLVER.),少女时代
GatesOfDawn,SecretGarden
GetDown(You'ReTheOneForMe),BackstreetBoys
GetOverYou,G.E.M.邓紫棋
GetUpOffaThatThing,JamesBrown
GoingHome,KennyG
GoingHome,SophieZelmani
GoingOut,久石让
GoodBye,张根硕
GoodbyeMontana-Part2,GeorgeWinston
GoodbyeMyLover,JamesBlunt
Goodmorningtoyou早上好,小蓓蕾组合
GoodtobeBad,G.E.M.邓紫棋
GottaHaveYou,Theweepies
GreekMeditation希腊冥想曲,Bandari
GuiltyAllTheSame,"LinkinPark,Rakim"
GuitarSound,RonaldJenkees
HISTORY,EXO-K
HOLIDAY,T-ara
HallOfFame,"TheScript,will.i.am"
HandHold,曲婉婷
HandsOnTheRadio,ChrisGarneau
HandsUp举手狂欢,2PM
HarderBetterFasterStronger,DaftPunk
HarderToBreathe,Maroon5
HaruHaru,BigBang
HaveANiceDay,FredCoury
HealTheWorld,MichaelJackson
HealTheWorld,MichaelJackson
HeartAndSoul,KennyG
HeartAttack,EXO-M
HeartofCourage,TwoStepsFromHell
HeavenOnEarth人间天上,Bandari
Heaven’sDay,东方神起
HelloDolly,小野丽莎
HelloSeattle,OwlCity
HereWeAreAgain,电影原声
HereWithYou,AsherBook
Hero'sTheme,StevenBurke
HeyBaby(DropItToTheFloor),Pitbull
HeyGirlDon'TBotherMe,TheTams
HeyOh,Tragedie
HisMistakes,Usher
HolyVirgin(ExtendedMix),GrooveCoverage
HoneyHoney,孙燕姿
HotSummer,f(x)
HowDeepIsYourLove,BeeGees
HushHush,AvrilLavigne
HushHush,ThePussycatDolls
I'MGonnaGetchaGood!,ShaniaTwain
I'MOuttaLove,Anastacia
I'MSorryThatTheKitchenIsOnFire,TamasWells
I'VeNeverBeenToMe,Charlene
I'llBeBack,2PM
I'mYours(AlbumVersion),JasonMraz
IBelieve,孙楠
IBelieve,我的野蛮女友
IBelieve,纯音乐
IBelieveICanFly,R.Kelly
IBelieveICanFly,R.Kelly
IBelieveICanFly,邓鼓
ICan't,2PM
ICouldBeTheOne(LpVersion),DonnaLewis
IGotYou(IFeelGood),JamesBrown
IHateMyselfForLovingYou,刘雅婷
IHateMyselfForLovingYou,JoanJett&theBlackhearts
IHaveNothing,WhitneyHouston
IHaveNothing,田丹
IJustCalledToSayILoveYou,StevieWonder
ILoveIt,IconaPop
ILoveYou,StewartMac
IMissU,本兮
INeedADoctor,Eminem
INeedYou,Westlife
INeedYourLove,"EllieGoulding,CalvinHarris"
ISayALittlePrayer,ArethaFranklin
IStayInLove,MariahCarey
IStillBelieve,MariahCarey
ISwear,TheMinions
IWannaBeWithYou,BackstreetBoys
IWantItThatWay,BackstreetBoys
IWantMyTearsBack,Nightwish
IWill,biancaryan
IWon'tGiveUp,JasonMraz
IchWill,rammstein
IfEveryoneCared(AlbumVersion),Nickelback
IfICouldFly,JoeSatriani
IfICouldTellYou,Yanni
IfIDieYoung,TheBandPerry
IfILetYouGo,Westlife
IfOnlyYou,DannySaucedo
IfYouWantMe,"MarketaIrglova,GlenHansard"
InTheEnd,LinkinPark
InTheEnd(AlbumVersion),LinkinPark
InTheMorningLight,Yanni
InYourHands,JasonMraz
InternationalLove,"Pitbull,ChrisBrown"
Islands(岛群),SuperJunior
It'sMyLife,BonJovi
It'sMyParty,JessieJ
ItShouldBeEasy,BritneySpears
JasmineFlower茉莉花,KennyG
Jeanny珍妮,罗百吉
JingleBells,Carpenters
JustCan’TGetEnough,TheBlackEyedPeas
JustOneLastDance,SarahConnor
KeepWalkingorI'llKillYou,AgnesKain
KissGoodbye,王力宏
KissGoodbye,王力宏
KnockKnock,Lenka
Knockin'OnHeaven'sDoor,毕夏
KnockinOnHeavenSDoor,AvrilLavigne
KnockingOnHeaven’SDoor,BobDylan
Kolibre（蜂鸟）,Maksim
K歌之王(国语),陈奕迅
LOVEYOULIKEALOVESONG,"SelenaGomez,theScene"
LaBalladeOfLady&Bird,Lady&Bird
LaChaTa,f(x)
LaIslaBonita,Madonna
LaVieEnRose,LouisArmstrong
LaVieEnRose玫瑰人生,小野丽莎
LadyMarmalade,"ChristinaAguilera,Lil'Kim,Mya,Pink"
LargerThanLife,MichaelLington
LastOfTheWilds,Nightwish
LastOfTheWilds,Nightwish
LatinGirl,JustinBieber
LeaveOutAllTheRest(SingleVersion),LinkinPark
LegendaryLovers,KatyPerry
LemonTree,FoolSGarden
Let'sStartFromHere,王若琳
LetItBe,TheBeatles
LetItGo,"VariousArtists,MarshaMilanLondoh,WillemijnVerkaik,NadezhdaPanayotova"
LetItRain,Nichkhun
LetMeGo,"AvrilLavigne,ChadKroeger"
LetMeGo,"AvrilLavigne,ChadKroeger"
Let’sDance(偕乐),SuperJunior
Liekkas,SofiaJannok
LifeForRent,Dido
Lighters,BrunoMars
LikeTheWind(日剧《爱情白皮书》配乐),神思者
LittleGirlInTheWorld,林二汶
LiveTomorrow,Laleh
LivingToLoveYou,SarahConnor
LongLive,TaylorSwift
LongLongJourney,Enya
LoseYourself,Eminem
LostInParadise,王若琳
LoveInDecember,Club8
LoveIsColorblind(BonusTrack)(Feat.Tq),SarahConnor
LoveIsanOpenDoor,VariousArtists
LoveIs…,"朴章贤,"
LoveLoveLove,蔡依林
LoveLoveLove,蔡依林
LoveMe,JustinBieber
LoveMotion,李敏镐
LoveOfMyLife一生爱恋,Bandari
LoveStory,泰勒·斯威夫特
LoveStruckMeDown,曲婉婷
LoveTheWayYouLie,"Eminem,Rihanna"
LoveTheWayYouLie(PartIi),"Rihanna,Eminem"
LoveWillKeepUsAlive,Eagles
LovetheWayYouLie,Rihanna
LovingYou,KennyG
Loyal(EastCoastVersion),"ChrisBrown,LilWayne,FrenchMontana"
LuvLetter,DJOKAWARI
MAMA,EXO-K
MRTAXI,少女时代
MaBoo,T-ara
MadSummer,久石让
MadWorld,SusanBoyle
MadWorld,AdamLambert
MainTitle,RaminDjawadi
MakeLove,BigBang
MakeYouFeelMyLove,Adele
MakeYouFeelMyLove,张珈铭
MakingLoveOutOfNothingAtAll,AirSupply
Mascara（烟熏妆）,G.E.M.邓紫棋
MayItBe,Enya
MayItBe,Enya
MaybeI'LlGo,LeneMarlin
MeAndMyBrokenHeart,Rixton
MelonStreetBookClub,TamasWells
MeltTheSnow,ShayneWard
Menuett#6,LizStory
MerryGoRound,久石让
MiMiMi,Serebro
MissingYou,"G-Dragon,金润雅"
MissingYou,2NE1
MoonRiver,王若琳
MoonRiver,小野丽莎
Moongate,SecretGarden
MoonlightShadow,GrooveCoverage
MoonlightShadow,DanaWinner
MoreThanAnyone,蔡健雅
Mr.Worldwide(Intro),"Pitbull,Vein"
MugamSayagi(1993),KronosQuartet
MurderMyHeart,MichaelBolton
MyAll,滨崎步
MyAll,MariahCarey
MyDecember,LinkinPark
MyDestiny,LYn
MyDestiny（你是我的命运）,LYn
MyEverything(2013Re-recording),李敏镐
MyHappyEnding,AvrilLavigne
MyHeartWillGoOn,CelineDion
MyHeartWillGoOn,KennyG
MyHumps,TheBlackEyedPeas
MyOhMy,Aqua
MySongsKnowWhatYouDid...,FallOutBoy
MySongsKnowWhatYouDidInTheDark(LightEmUp),FallOutBoy
MyTurnToCry,EXO
Nemo(AlbumVersion),Nightwish
NeverGrowUp,TaylorSwift
NeverHadADreamComeTrue,SClub7
NeverKnow,JackJohnson
NeverSayGoodbye,Mario&Nasty
NeverSayNever,TheFray
NewAgain,"BradPaisley,SaraEvans"
NewBoy,朴树
NewDayComing,自然与神思合奏团
NewDivide,LinkinPark
NewDivide,LinkinPark
NewSoul,YaelNaim
NightPrayer,Iridio
NoMatterWhat,Boyzone
NoMatterWhat,Boyzone
NoPromises,ShayneWard
NobodyButYou,BackstreetBoys
NotAfraid,Eminem
Nothing'SGoingToChangeMyLoveForYou,Westlife
Nothing'SGonnaChangeMyLoveForYou,方大同
Nothing'SGonnaChangeMyLoveForYou(AlbumVersion),GEORGEBENSON
NothingInTheWorld,AtomicKitten
NothingOnYou,邓福如
NuAbo(NU???),f(x)
Numb(LiveInTexas),LinkinPark
NumbEncore,"林肯公园,Jay-Z,德瑞博士,50美分,艾米纳姆"
OceanWaves,GeorgeWinston
OhBoy,G.E.M.邓紫棋
OnTheFloor,"JenniferLopez,Pitbull"
OnTheRadio,GrooveCoverage
OneDayInSpring,Bandari
OneEvening(VvMix),Feist
OneLastTime,KellyMack
OneLove,Blue
OneMan'SDream,Yanni
OneNightIn北京,信乐团
OneNightIn北京,信乐团
OneTime,JustinBieber
OnlyLove,GrooveCoverage
OnlyLove只有爱,Trademark
OntheFloor(Ft.Pitbull),JenniferLopez
OohLaLa,BritneySpears
OohLaLa,Goldfrapp
OurSong,TaylorSwift
OutlawsOfLove,AdamLambert
PSY-江南Style高清官方版,PSY
PalaceMemories,神思者
ParadiseInLove,李敏镐
PartitaForDoubleStringOrchestra:Iv.Fantasia(Allegro),邓丽君
PartitaForDoubleStringOrchestra:Iv.Fantasia(Allegro),邓丽君
PartitaForDoubleStringOrchestra:Iv.Fantasia(Allegro),吉克隽逸
PartitaForDoubleStringOrchestra:Iv.Fantasia(Allegro),邓丽君
PartitaForDoubleStringOrchestra:Iv.Fantasia(Allegro),吉克隽逸
Passionata热情,Maksim
Pinnochio(Danger),f(x)
PorUnaCabeza,汤玛斯纽曼
PrettyBaby,HoneyB&T-Bones
PrettyBoy(LpVersion),M2M
PrettyBoy(魅力男孩),"泰民,KAI(EXO)"
PriceTag,"B.o.B,JessieJ"
PrisonerOfLove,宇多田光
ProudOfYou,冯曦妤
QueSeraSera,DorisDay
R.O.D.,"G-Dragon,LydiaPaek"
ROADSUNTRAVELED,LinkinPark
RageYourDream,Move
RatherBe,"CleanBandit,JessGlynne"
RatherBefeat.JessGlynne,CleanBandit
Re:make,OneOkRock
RedneckWoman,GretchenWilson
RememberTheName,FortMinor
RequiemForATower,Escala
ReturnToInnocence,Enigma
RightHereWaiting,RichardMarx
RingRingRing,S.H.E
RingaLinga,太阳
RiverSide,久石让
Roc,Nadiya
RollTheDice(Demo),高姗
RollingInTheDeep,吉克隽逸
RollingInTheDeep,KimYarbrough
RollingStar,Yui
RunAway,本兮
RunDevilRun,少女时代
RunawayBaby,BrunoMars
SavingAllMyLoveForYou,孟楠
SayItRight,NellyFurtado
"SayYou,SayMe",LionelRichie
ScarborougeFair（声动亚洲）,霍尊
SeasonsInTheSun,Westlife
SetFiretotherain（声动亚洲）,茜拉
SevenYears,NorahJones
"Sexy,Free&Single",SuperJunior
Sexyback,"JustinTimberlake,Timbaland"
Sexymusic+冬天里的一把火,"吉克隽逸,刘昊霖"
ShallWeTalk,陈奕迅
ShapeOfMyHeart,Sting
ShapeOfMyHeart,BackstreetBoys
She'sGone,Steelheart
ShiningFriends,冯曦妤
ShotgunSenorita,BlueStahli
Shots,LMFAO
ShouldItMatter,Sissel
ShutUpAndLetMeGo,TheTingTings
Silentnight,BellyGilman
SingleLadies(PutARingOnIt),Beyonce
SmoothCriminal,MichaelJackson
Snow静静的雪,Bandari
SoCold,pauladeanda
SoFar,ChrisGarneau
SoSick,Ne-Yo
SoWhat,P!nk
Some(?)(feat.???Of??),"昭宥,Junggigo"
SomebodyLovesSomebody,CélineDion
SomebodyThatIUsedtoKnow,"Kimbra,Gotye"
SomedayI’llFly,G.E.M.邓紫棋
SomedayWe'llBeTogether,VondaShepard
SomewhereIBelong(AlbumVersion),LinkinPark
SongFromASecretGarden,SecretGarden
SongFromASecretGarden,SecretGarden
"Sorry,Sorry",SuperJunior
"Sorry,Sorry(????)",SuperJunior
SorrySeemsToBeTheHardestWord(Feat.EltonJohn),"Blue,EltonJohn"
SoundOfSilence,Ania
Spanish,CraigDavid
SpiritedAway-OneSummer'SDay,久石让
StandByMe,"葛泓语,张珈铭"
StaringattheSun,U2
StayBeautiful,TaylorSwift
StayHereForever,Jewel
StayHereForever,Jewel
"Steppe,EndlessSteppe(Arr.V.Afanasiev)","St.PetersburgMaleVoiceChoir,VadimAfanasiev"
StillWaiting,Sum41
StoryOfMyLife,BonJovi
StrengthofaThousandMen,TwoStepsFromHell
SummerRoad,久石让
Summertrain,GreysonChance
SunshineGirl,moumoon
SunshineInTheRain,BwO
SuperStyle,SpeXial
SupermassiveBlackHole,MUSE
SweetDream,张娜拉
T.T.L(TimeToLove),T-ara
TVエンディングテーマ,和平之月
"TakeMeHome,CountryRoads",JohnDenver
"TakeMeHome,CountryRoads",JohnDenver
"TakeMeHome,CountryRoads",塔斯肯
TakeMeHomeCountryRoads,小野丽莎
TakeMyHand,SimplePlan
TakeYou,JustinBieber
TalkingToTheMoon,BrunoMars
TearsInHeaven,EricClapton
TeenageLife,DazSampson
TellMe,潘玮柏
TellMeWhy,"DeclanGalbraith,TheYoungVoicesChoir"
TellMeWhy,Lafee
ThankYou,Dido
ThankYou,Dido
ThatPlaceInYourHeart,RonanHardiman
ThatSWhy(YouGoAway),MichaelLearnsToRock
Thatxx,G-Dragon
TheAplSong,TheBlackEyedPeas
TheBest,苏梦玫
TheCupofLife,RickyMartin
TheDawn,Dreamtale
TheDayYouWentAway,M2M
TheDivaDance,贵族乐团
TheEndOfTheWorld,SkeeterDavis
TheEscapist(Bside),Nightwish
TheFinalCountdown,Europe
TheFirstCutIsTheDeepest,RodStewart
TheFirstSnowflakes,班得瑞
TheGarden,GeorgeWinston
TheMagnificentSeven,erichkunzel
TheMagnificentSeven-Suite,群星
TheMass,Era
TheOneYouLove,GlennFrey
ThePowerOfLove,CélineDion
ThePromise,SecretGarden
TheRain,久石让
TheRaisingFightingSpirit,火影忍者
TheRiddle,FiveForFighting
TheRose,Westlife
TheRose(extraver.),手嶌葵
TheSaltwaterRoom,OwlCity
TheSaltwaterRoom,OwlCity
TheShadow(inst),宝儿
TheTruthThatYouLeave,pianoboy
TheVeniceDreamer:PartTwo,GeorgeWinston
TheVoiceWithin,ChristinaAguilera
TheWayOfTheWind微风吹拂的方式,Bandari
TheWindmillsOfYourMind,DustySpringfield
ThehillofThieves,CaraDillon
ThemeFromDyingYoung,KennyG
ThereYou'llBe,FaithHill
ThisIsTheNewShit,MarilynManson
ThisLove,Maroon5
ThriftShop,Macklemore&RyanLewis
ThroughTheWire,KanyeWest
TikTok,AvrilLavigne
TillICollapse,"Eminem,NateDogg"
TimeAfterTime,CyndiLauper
TimeInABottle,jimcroce
TimeToSayGoodbye(ConTePartiro),"AndreaBocelli,SarahBrightman"
TimeToSayGoodbye(ConTePartiro),"SarahBrightman,AndreaBocelli"
Timeaftertime～花舞う街で～,仓木麻衣
ToBeWithYou,Mr.Big
ToTheSky,OwlCity
"Tonight,IFeelCloseToYou","孙燕姿,仓木麻衣"
TonightIWannaCry,KeithUrban
TooManyBeautifulGirls(被美女着迷),SuperJunior
TooMuchBetweenUs,GeorgeWinston
TopOfTheWorld,Carpenters
TouchMyBody,MariahCarey
TrackYouDown,SondreLerche
TravelingLight,JoelHanson
TrueLove,蔡健雅
TrulyMadlyDeeply,SavageGarden(野人花园)
TryToRemember,黎明
TryingTimes,BoyzIIMen
TurnDownForWhat,"DJSnake,LilJon"
TwinkleTwinkleLittleStar,Twins
"TwoDegreesEast,ThreeDegreesWest(LpVersion)",JohnLewis
UDriveMeCrazy,NSync
UMakeMeWanna,Blue
UnAngeFrappeAMaPorte,NatashaSt-Pier
UnchainedMelody,TheRighteousBrothers
UnforgivableSinner,LeneMarlin
UntilYou,ShayneWard
UsAgainstTheWorld,Westlife
Victory（胜利Remix版）,Maksim
VideoKilledTheRadioStar,TheBuggles
VisionOfLove,MariahCarey
VoisSurTonChemin,原声大碟
WakaWaka(EstoEsAfrica),Shakira
WakaWaka(ThisTimeForAfrica),Shakira
WalkAway,"HighSchoolMusicalCast,VanessaHudgens"
WalkAway,DiaFrampton
WalkingAway,ChianoSky
WalkingInTheAir,AledJones
WayBackIntoLove,HughGrant
WeAreElectric,FlyingSteps
WeAreOne,Westlife
WeAreOne(OleOla),"Pitbull,JenniferLopez,ClaudiaLeitte"
WeAreOne(OleOla)[TheOfficial2014FIFAWorldCupSong],"Pitbull,JenniferLopez,ClaudiaLeitte"
WeAreTheChampions,Queen
WeAreTheWorld,MichaelJackson
WeBelongTogether,MariahCarey
WeCan'tStop[radioedit-clean],MileyCyrus
WeDidn'tMoveAMuscle,ANT
WeFoundLove,"Rihanna,CalvinHarris"
WeWishYouAMerryChristmas,Enya
What'sUp?,刘雅婷
WhatAWonderfulWorld,LouisArmstrong
WhatAreWords,ChrisMedina
WhatCanIDo,南拳妈妈
WhatHaveUDone,G.E.M.邓紫棋
WhatI'VeDone,LinkinPark
WhatIsDancing,未知
WhatayaWantFromMe,"张玮,AdamLambert"
WhenAManLovesAWoman,MichaelBolton
WhenI'MGone,Eminem
WhenIFallInLove,"CelineDion,clivegriffin"
WhenWeStandTogether,Nickelback
WhenYou'ReGone,AvrilLavigne
WhenYou'reGone,AvrilLavigne
WhenYouBelieve,"WhitneyHouston,MariahCarey"
WhenYouCry,凤凰传奇
WhenYouSayNothingAtAll,RonanKeating
WhenYouSayNothingAtAll,AlisonKrauss
WhenYouSayNothingAtAll,AlisonKrauss
"Whenever,Wherever",Shakira
WhereAreYouNow,GeorgeWinston
WhereDidUGo,邓紫棋
WhereDidUGo,G.E.M.邓紫棋
WhereDidYouGo2.0(SamVahdatRemix),G.E.M.邓紫棋
WhoSays,SelenaGomez
WhyWouldIEver,pauladeanda
WildChild,Enya
WishIHadAnAngel,Nightwish
WishYouWereHere,AvrilLavigne
WithAnOrchid,Yanni
WithoutMe,Eminem
WithoutYou,MariahCarey
WithoutYou,MariahCarey
Won'TGoHomeWithoutYou,Maroon5
WonderfulTonight,EricClapton
YesterdayOnceMore,Carpenters
YesterdayOnceMore,Carpenters
YesterdayOnceMore,Carpenters
You'ReBeautiful,JamesBlunt
You'ReBeautiful,JamesBlunt
YouAreBeautiful,韦礼安
YouAreMySunshine,CarlySimon
YouAreTheOne,C21
YouBelongToMe,JasonWade
YouMustLoveMe,Madonna
YouRaiseMeUp,金润吉
YouRaiseMeUp,SecretGarden
a-思乡佛号,佛教音乐
alwayswithme,"久石让,钢琴曲"
anyclub,李孝利
badapple,初音未来
beautifullies,b-complex
bootymusic,DeepSide
braveheart,宮崎歩
butterfly,和田光司
crossingfield,织部里沙
d-大调卡农,钢琴曲
dj,金达莱花
f(x);D.O.-GoodbyeSummer(f(AmberLunaKrystal)),"f(x),D.O."
hold住爱,"龙梅子,老猫"
ifyouarehappy,小蓓蕾组合
inori,西村由纪江
itismylife,bonjovi
itsmylife,LinkinPark
jamisoulshe-featmr.bangannie,萨克斯
jinglebells,小蓓蕾组合
kisstherain(雨的印记),李闰珉
letitbe,TheBeatles
londonbridge,小蓓蕾组合
lubov,Rosstallanma
mariaarredondomariaarredond,Burning
maryhadaLittlelamb,小蓓蕾组合
mlk(featsnoopdoggnatedogg),"龙梅子,WarrenG"
mp3,白狐
"one,tow,three,four,five",小蓓蕾组合
onefordamoney,overground
onlymyrailgun,fripSide
prettyboy,英文歌曲
riverflowsinyou(在妳身上流动的河),李闰珉
rollinginthedeep,中国好声音
secretbase～君がくれたもの～,Zone
sheisgone,歌浴森
sosorry,简红
wreckingball-dj-davisremix,Frankmusik
x-x/x!x./xx-x0x.x-(x-,乌兰托娅
βios,泽野弘之
βios,澤野弘之
【交谊舞慢四】空城杨坤】年春晚歌曲,杨坤
あなただけ見つめてる,大黒摩季
かざぐるま,一青窈
ひとり上手(漫步人生路原曲),中岛美雪
エウテルペ,Egoist
クルマレテ,吉田亚纪子
ニワカアメ,花たん
一万个舍不得(DJAlex.xMixVersion),"庄心妍,祁隆"
一万次悲伤,逃跑计划
一不小心爱上你,"江映蓉,张翰"
一世情缘一世愁,陈瑞
一个人唱情歌(rap版),带泪的鱼
一个人唱情歌(旋律版),带泪的鱼
一个人疗伤,带泪的鱼
一个人的北京,山野
一个人的北京,好妹妹乐队
一个人的情歌,"带泪的鱼,MC诺"
一个人的时光(新曲),石进
一个人的疗伤,带泪的鱼
一个人的脚步,艾歌
一个人的脚步-2011-house,艾歌
一个像夏天一个像秋天,范玮琪
一个爱上浪漫的人,孟庭苇
一个男人,金钟国
一事无成,"周柏豪,郑融"
一二三四歌,阎维文
一亿个伤心,蒙面哥
一亿个伤心,蒙面哥
一亿个伤心,网络歌手
一分钱,小蓓蕾组合
一加一等于我爱你,贺世哲
