歌曲id,歌曲名,歌手名,,,,,,,
14907195 ,Moves Like Jagger,"Maroon 5,Christina Aguilera",,,,,,,
34153315 ,中国范儿,玖月奇迹,,,,,,,
115087381 ,我唱故我在,吉克隽逸,,,,,,,
14873304 ,唐古拉Dj版,"王麟,完玛三智",,,,,,,
23154677 ,愿得一人心,李行亮,,,,,,,
13844864 ,Call Me Maybe,Carly Rae Jepsen,,,,,,,
18926950 ,我悄悄地蒙上你的眼睛,"高明骏,陈艾湄",,,,,,,
1000860 ,浮夸,陈奕迅,,,,,,,
87602524 ,青春,张恒远,,,,,,,
86717943 ,一起摇摆,"汪峰,张恒远,毕夏,单冲锋,孟楠",,,,,,,
34182398 ,风吹麦浪,"李健,孙俪",,,,,,,
263494 ,春天里,汪峰,,,,,,,
416940 ,包容,郑源,,,,,,,
15925730 ,Lemon Tree,苏慧伦,,,,,,,
87727779 ,The Fox,Ylvis,,,,,,,
233822 ,勇气,梁静茹,,,,,,,
121223583 ,剑心,张杰,,,,,,,
13741177 ,Stronger (What Doesn'T Kill You),Kelly Clarkson,,,,,,,
10405520 ,传奇,王菲,,,,,,,
99750306 ,为爱相随,"韩雷,路默依",,,,,,,
14881420 ,不再联系,程响,,,,,,,
121515349 ,不再见,陈学冬,,,,,,,
102293065 ,你把我灌醉,邓紫棋,,,,,,,
2121739 ,轻轻的告诉你,杨钰莹,,,,,,,
83590931 ,爱一点,"王力宏,章子怡",,,,,,,
205798 ,蓝莲花,许巍,,,,,,,
65494897 ,山风一样自由,阿鲁阿卓,,,,,,,
1481912 ,同桌的你,老狼,,,,,,,
14880387 ,思密达,王麟,,,,,,,
515253 ,大地,Beyond,,,,,,,
110054446 ,?? (再见),孝琳(Sistar),,,,,,,
258892 ,童年,罗大佑,,,,,,,
14902630 ,不再联系,夏天Alex,,,,,,,
306001 ,王妃,萧敬腾,,,,,,,
312707 ,当爱已成往事,张国荣,,,,,,,
235517 ,阴天,莫文蔚,,,,,,,
106081272 ,他不懂,张杰,,,,,,,
117189215 ,如果缘只到遇见,"吴奇隆,严艺丹",,,,,,,
474948 ,夜夜夜夜,齐秦,,,,,,,
64563559 ,残酷月光,萱萱,,,,,,,
1039139 ,容易受伤的女人,王菲,,,,,,,
121227318 ,猛龙过江,筷子兄弟,,,,,,,
87603393 ,追梦赤子心,张恒远,,,,,,,
1009000 ,在水一方,邓丽君,,,,,,,
88352776 ,心火,姚贝娜,,,,,,,
14892486 ,很有味道,格格,,,,,,,
256126 ,遇见,孙燕姿,,,,,,,
44897031 ,董小姐,宋冬野,,,,,,,
31895305 ,女人不是妖,司徒兰芳,,,,,,,
14906363 ,卜卦,崔子格,,,,,,,
1008491 ,鲁冰花,甄妮,,,,,,,
250890 ,牵手,苏芮,,,,,,,
64555550 ,飞天,凤凰传奇,,,,,,,
85800617 ,记得,李琦,,,,,,,
1448903 ,奢香夫人,凤凰传奇,,,,,,,
95780617 ,其实我很在乎你,谢容儿,,,,,,,
1277888 ,黄昏,周传雄,,,,,,,
283743 ,如果没有你,莫文蔚,,,,,,,
65592867 ,要爱爱,王麟,,,,,,,
119765593 ,爱你的宿命,张信哲,,,,,,,
93820051 ,我们好像在哪见过,"杨宗纬,叶蓓",,,,,,,
283662 ,爱是你我,"刀郎,云朵,王翰仪",,,,,,,
122195353 ,待我长发及腰,尚雯婕,,,,,,,
106202153 ,战争世界,姚贝娜,,,,,,,
2132046 ,趁早,张宇,,,,,,,
23473715 ,江南Style,Psy,,,,,,,
2122562 ,情非得已,庾澄庆,,,,,,,
7316462 ,好久不见,陈奕迅,,,,,,,
108601992 ,马上有钱,朱贝贝,,,,,,,
120124557 ,晴,汪苏泷,,,,,,,
4770714 ,我最亲爱的,张惠妹,,,,,,,
2126456 ,我很丑，可是我很温柔,赵传,,,,,,,
5946955 ,鸿雁,呼斯楞,,,,,,,
5910877 ,我相信,杨培安,,,,,,,
108033900 ,My Destiny,Lyn,,,,,,,
97450674 ,Summer Time,"吉克隽逸,Snoop dogg",,,,,,,
108887719 ,夜空中最亮的星,escape plan逃跑计划,,,,,,,
98834442 ,The Monster,"Eminem,Rihanna",,,,,,,
2494585 ,像梦一样自由,汪峰,,,,,,,
64515735 ,当爱情离开的时候,王麟,,,,,,,
13805382 ,铁血丹心,"罗文,甄妮",,,,,,,
2603459 ,上海滩,叶丽仪,,,,,,,
86688137 ,谈何容易,韩红,,,,,,,
123066590 ,爱不可及 （电影《触不可及》主题曲）,王菲,,,,,,,
2110700 ,突然的自我,伍佰,,,,,,,
1017566 ,最熟悉的陌生人,萧亚轩,,,,,,,
27853049 ,心痛2013,小山,,,,,,,
117123119 ,We Are One (Ole Ola),"Pitbull,Jennifer Lopez,Claudia Leitte",,,,,,,
90187803 ,爱，不解释,张杰,,,,,,,
33896247 ,越热闹越孤单,许诺,,,,,,,
7316463 ,爱情转移,陈奕迅,,,,,,,
1217294 ,Super Star,S.H.E,,,,,,,
87601279 ,拥抱你,刘思涵,,,,,,,
209625 ,十七岁的雨季,林志颖,,,,,,,
5071402 ,我的好兄弟,"高进,小沈阳",,,,,,,
292712 ,无所谓,杨坤,,,,,,,
72657070 ,月到天心处,吉克隽逸,,,,,,,
254515 ,领悟,辛晓琪,,,,,,,
1066652 ,独角戏,许茹芸,,,,,,,
30970992 ,爱的世界只有你,"祁隆,乐凡",,,,,,,
1267392 ,回忆的沙漏,G.E.M.邓紫棋,,,,,,,
7317902 ,相思风雨中,"张学友,汤宝如",,,,,,,
89437121 ,大声说我爱你,小山,,,,,,,
85730250 ,红尘情歌 - 对唱版 芦丽红,高安,,,,,,,
292766 ,好久不见,陈奕迅,,,,,,,
228850 ,自由飞翔,凤凰传奇,,,,,,,
13776806 ,唱着情歌流着泪,祁隆,,,,,,,
1015305 ,胆小鬼,梁咏琪,,,,,,,
10230112 ,三寸天堂,严艺丹,,,,,,,
264374 ,给你们,张宇,,,,,,,
1008662 ,痴心绝对,李圣杰,,,,,,,
209442 ,相见恨晚,彭佳慧,,,,,,,
105660708 ,不唱情歌,姚贝娜,,,,,,,
119346790 ,可以了,陈奕迅,,,,,,,
1000656 ,漫步,许巍,,,,,,,
228491 ,郎的诱惑,凤凰传奇,,,,,,,
389018 ,真的爱你,Beyond,,,,,,,
10240852 ,偏偏喜欢你,陈百强,,,,,,,
8869256 ,那些年,胡夏,,,,,,,
844678 ,笑红尘,陈淑桦,,,,,,,
102292191 ,泡沫,邓紫棋,,,,,,,
34303121 ,烟花易冷,林志炫,,,,,,,
33858815 ,我不是江南Style,妞妞（好声音学员）,,,,,,,
120355556 ,不再联系,"崔子格,夏天Alex",,,,,,,
121264344 ,感到幸福你就拍拍手,凤凰传奇,,,,,,,
108013563 ,中国吉祥,玖月奇迹,,,,,,,
5837361 ,伤不起,王麟,,,,,,,
236497 ,那些花儿,朴树,,,,,,,
107468407 ,趁你还年轻,华晨宇,,,,,,,
27867080 ,I Knew You Were Trouble,Taylor Swift,,,,,,,
6419060 ,伤心城市,冷漠,,,,,,,
34168107 ,许Sir思密达,"王麟,老猫",,,,,,,
8513481 ,策马奔腾,凤凰传奇,,,,,,,
99751472 ,以为爱情没有了,叶蓓,,,,,,,
28790755 ,你懂得,"小沈阳,沈春阳",,,,,,,
87603287 ,后知后觉,"李琦,张惠妹",,,,,,,
291890 ,雨一直下,张宇,,,,,,,
620023 ,一路上有你,张学友,,,,,,,
64953300 ,兄弟难当,杜歌,,,,,,,
416996 ,爱情码头,郑源,,,,,,,
123304515 ,幸运符号,TFBOYS,,,,,,,
7675660 ,大声唱,凤凰传奇,,,,,,,
10547632 ,天籁传奇,凤凰传奇,,,,,,,
87720405 ,泪满天,龙梅子,,,,,,,
113275822 ,我的要求不算高,黄渤,,,,,,,
477832 ,呼伦贝尔大草原,降央卓玛,,,,,,,
351466 ,爱,小虎队,,,,,,,
5911829 ,西海情歌,降央卓玛,,,,,,,
35595406 ,Counting Stars,OneRepublic,,,,,,,
7386676 ,Baby,Justin Bieber,,,,,,,
1174472 ,Trouble Is A Friend,Lenka,,,,,,,
1015565 ,南海姑娘,邓丽君,,,,,,,
121078805 ,入戏太深,郑源,,,,,,,
354387 ,青花瓷,周杰伦,,,,,,,
120793675 ,一点一滴,羽泉,,,,,,,
296240 ,一直很安静,阿桑,,,,,,,
13611644 ,闯码头DJ版,大哲,,,,,,,
1533430 ,美人吟,李玲玉,,,,,,,
10432075 ,北国之春,邓丽君,,,,,,,
7317587 ,爱我的人和我爱的人,裘海正,,,,,,,
331355 ,美酒加咖啡,邓丽君,,,,,,,
116534890 ,魔法城堡,TFBOYS,,,,,,,
13902676 ,你把爱情给了谁,龙梅子,,,,,,,
7316465 ,红玫瑰,陈奕迅,,,,,,,
5409496 ,追梦赤子心,GALA,,,,,,,
87602547 ,生如夏花,毕夏,,,,,,,
235874 ,琵琶语,林海,,,,,,,
122102417 ,要死就一定要死在你手里,杨坤,,,,,,,
115023641 ,天使的指纹,孙燕姿,,,,,,,
120971131 ,Maps,Maroon 5,,,,,,,
472686 ,花心,周华健,,,,,,,
119383607 ,上瘾 (Overdose),EXO-M,,,,,,,
2103686 ,你是我的眼,林宥嘉,,,,,,,
516015 ,不再犹豫,Beyond,,,,,,,
7350102 ,你最珍贵,"张学友,高慧君",,,,,,,
1145695 ,萍聚,"李翊君,孙建平",,,,,,,
2126164 ,朋友,臧天朔,,,,,,,
5676639 ,永远的兄弟,刀郎,,,,,,,
7271730 ,Marry You,Bruno Mars,,,,,,,
44799277 ,光阴的故事,"黄晓明,邓超,佟大为",,,,,,,
13903681 ,DJ版漂亮的姑娘就要嫁人啦,"龙梅子,老猫",,,,,,,
13762260 ,一生无悔,"高安,杭娇",,,,,,,
64578056 ,那些年,阚立文,,,,,,,
2342863 ,新贵妃醉酒,李玉刚,,,,,,,
122791241 ,花开那年,魏晨,,,,,,,
207981 ,冲动的惩罚,刀郎,,,,,,,
1002801 ,星期六,罗百吉,,,,,,,
65602377 ,像梦一样自由,毕夏,,,,,,,
93823150 ,把命都给你了,黄海波,,,,,,,
18202687 ,蹦吧啦 Bo Ba La,DJ小可,,,,,,,
27853371 ,空城,金志文,,,,,,,
14915524 ,哥有老婆,纪晓斌,,,,,,,
10288192 ,大悲咒,佛教音乐,,,,,,,
113277760 ,情非得已,"李敏镐,庾澄庆",,,,,,,
107591832 ,微笑以后,张靓颖,,,,,,,
12308850 ,What Makes You Beautiful,One Direction,,,,,,,
295363 ,有一点动心,"张信哲,刘嘉玲",,,,,,,
5946379 ,绿旋风,凤凰传奇,,,,,,,
39462038 ,Gentleman,PSY,,,,,,,
103450188 ,每天一点新,萧敬腾,,,,,,,
87602538 ,咿呦,张恒远,,,,,,,
282561 ,勇敢的心,汪峰,,,,,,,
116355201 ,做你心上的人(DJ阿远 Mix),唐古,,,,,,,
87603560 ,真实,李琦,,,,,,,
7330118 ,讲不出再见,谭咏麟,,,,,,,
109808290 ,Gentleman,"戴爱玲,Victor Lau",,,,,,,
5990617 ,爱情专属权,"龙梅子,老猫",,,,,,,
1300366 ,敖包相会,刀郎,,,,,,,
5910256 ,我和草原有个约定,降央卓玛,,,,,,,
10526013 ,东风破,周杰伦,,,,,,,
5956787 ,高山流水,古筝,,,,,,,
117106781 ,你是我的男神,周艳泓,,,,,,,
20354499 ,夜的钢琴曲,石进,,,,,,,
515318 ,喜欢你,Beyond,,,,,,,
84880250 ,狐狸叫,Ylvis,,,,,,,
120176169 ,和从前一样（抒情版）,黄勇,,,,,,,
121223580 ,剑伤,李易峰,,,,,,,
38422697 ,好了伤疤忘了疼,大庆小芳,,,,,,,
7305469 ,没那么简单,黄小琥,,,,,,,
122906469 ,MAMACITA (哎呀呀),Super Junior,,,,,,,
87855068 ,不再联系,"夏天Alex,崔子格",,,,,,,
116347411 ,姐姐，为什么你不说话,周艳泓,,,,,,,
769377 ,类似爱情,萧亚轩,,,,,,,
7319923 ,因为爱情,"王菲,陈奕迅",,,,,,,
34182378 ,春暖花开,那英,,,,,,,
13776651 ,等你等了那么久,祁隆,,,,,,,
65602383 ,煎熬,赵晗,,,,,,,
2076226 ,问,梁静茹,,,,,,,
119349203 ,服不服,王麟,,,,,,,
121889558 ,爱的勇气,曲婉婷,,,,,,,
260021 ,幸福恋人,"郑源,沈丹丹",,,,,,,
123143167 ,兄弟一条命,简红,,,,,,,
64563107 ,也许明天,姚贝娜,,,,,,,
5960464 ,朋友的酒,李晓杰,,,,,,,
34185463 ,没离开过,林志炫,,,,,,,
66610193 ,手掌心,丁当,,,,,,,
87965463 ,Timber,"Pitbull,Ke$ha",,,,,,,
1149563 ,最初的梦想,范玮琪,,,,,,,
31336164 ,找一个相爱的理由,"晨熙,艾歌",,,,,,,
123639120 ,龙卷风,G.E.M.邓紫棋,,,,,,,
2057808 ,千年等一回,高胜美,,,,,,,
309114 ,想你的夜,关喆,,,,,,,
13912178 ,红山果,安与骑兵,,,,,,,
2070928 ,可惜不是你,梁静茹,,,,,,,
1101881 ,我愿意,王菲,,,,,,,
242926 ,说谎,林宥嘉,,,,,,,
85800595 ,也许在,姚贝娜,,,,,,,
233581 ,看透爱情看透你,冷漠,,,,,,,
65602381 ,领悟,孟楠,,,,,,,
87600618 ,I'm Yours,李琦,,,,,,,
5893201 ,父亲的草原母亲的河,降央卓玛,,,,,,,
209003 ,再见,张震岳,,,,,,,
704234 ,我是一只小小鸟,赵传,,,,,,,
122335614 ,记得我爱你,李易峰,,,,,,,
10046825 ,Zombie,The Cranberries,,,,,,,
256839 ,光明,汪峰,,,,,,,
606412 ,曲终人散,张宇,,,,,,,
65355043 ,怎样,毅光年,,,,,,,
100217287 ,伸出手,平安,,,,,,,
115032004 ,娱乐天空,陈奕迅,,,,,,,
117190905 ,Let It Go,"Various Artists,Marsha Milan Londoh,Willemijn Verkaik,Nadezhda Panayotova",,,,,,,
1181294 ,特别的爱给特别的你,伍思凯,,,,,,,
103501954 ,咬咬你,苍井空,,,,,,,
13931964 ,我被爱情下了药,崔子格,,,,,,,
18226537 ,大悲咒,印能法师,,,,,,,
87603264 ,如果风不再吹,"张恒远,汪峰",,,,,,,
453793 ,其实你不懂我的心,童安格,,,,,,,
84896210 ,给爱,"周艳泓,林依轮",,,,,,,
119383623 ,Thunder (雷电),EXO-M,,,,,,,
88610540 ,就当是你为了我,许诺,,,,,,,
1256252 ,潇洒走一回,叶倩文,,,,,,,
1158097 ,My Love,Westlife,,,,,,,
350917 ,A.I.N.Y.（爱你）,G.E.M.邓紫棋,,,,,,,
108479467 ,她妈妈不喜欢我,王矜霖,,,,,,,
116355704 ,?? (约定),金秀贤,,,,,,,
1129462 ,记事本,陈慧琳,,,,,,,
33895493 ,爱囚,庄心妍,,,,,,,
931434 ,风雨无阻,周华健,,,,,,,
961297 ,断桥残雪,许嵩,,,,,,,
2104023 ,滴答,侃侃,,,,,,,
9512622 ,新娘不是我,程响,,,,,,,
265564 ,相信自己,零点乐队,,,,,,,
120958904 ,吵架歌,"汪苏泷,Hari",,,,,,,
121253862 ,云淡风轻,平安,,,,,,,
2191061 ,Beat It,Michael Jackson,,,,,,,
7495745 ,Because Of You,Kelly Clarkson,,,,,,,
116535119 ,如果分开我也爱你（白色情人节版）,关喆,,,,,,,
123193996 ,卡西莫多的礼物,华晨宇,,,,,,,
33908824 ,完美女人,陈瑞,,,,,,,
1490537 ,残酷月光,林宥嘉,,,,,,,
391713 ,海阔天空,信乐团,,,,,,,
106842452 ,你到底有没有爱过我,蓝波,,,,,,,
1293493 ,如果这都不算爱,张学友,,,,,,,
7164869 ,怎么说我不爱你,萧敬腾,,,,,,,
235725 ,清明雨上,许嵩,,,,,,,
57146432 ,相爱多么难得,"孙子涵,李潇潇",,,,,,,
53406476 ,伤心的人别听慢歌 (贯彻快乐),五月天,,,,,,,
5919067 ,走天涯,降央卓玛,,,,,,,
39101773 ,火火的姑娘,东方红艳,,,,,,,
7641462 ,爱情这杯酒谁喝都得醉,闫旭,,,,,,,
1347957 ,斯琴高丽的伤心,斯琴高丽,,,,,,,
10502800 ,这条街,NULL,,,,,,,
285075 ,你怎么舍得我难过,黄品源,,,,,,,
114752193 ,天使在欧洲,平安,,,,,,,
13740995 ,你是我心爱的姑娘,汪峰,,,,,,,
87720451 ,情歌继续唱,"龙梅子,冷漠",,,,,,,
18393790 ,只要有你,"那英,孙楠",,,,,,,
221418 ,慢慢,张学友,,,,,,,
33895538 ,真的不容易,庄心妍,,,,,,,
10525914 ,安静,周杰伦,,,,,,,
105326964 ,过期爱情,雨宗林,,,,,,,
10367214 ,鹿中的王子,小蓓蕾组合,,,,,,,
649681 ,月半小夜曲,李克勤,,,,,,,
123638479 ,情为何物,"安东阳,樊桐舟",,,,,,,
8059247 ,Apologize,OneRepublic,,,,,,,
462728 ,那就这样吧,动力火车,,,,,,,
42983568 ,你把我灌醉,G.E.M.邓紫棋,,,,,,,
89883453 ,以后的以后,庄心妍,,,,,,,
274606 ,心如刀割,张学友,,,,,,,
122822867 ,烟火里的尘埃,华晨宇,,,,,,,
976215 ,难念的经,周华健,,,,,,,
5902624 ,陪你一起看草原,降央卓玛,,,,,,,
109052117 ,克卜勒,孙燕姿,,,,,,,
101604006 ,凤凰,张玮,,,,,,,
999104 ,向天再借五百年,韩磊,,,,,,,
116972306 ,铃铃,"萧敬腾,范玮琪",,,,,,,
5915242 ,一生所爱,卢冠廷,,,,,,,
311571 ,月半小夜曲,陈慧娴,,,,,,,
68719308 ,Roar,Katy Perry,,,,,,,
1001402 ,背叛,曹格,,,,,,,
890663 ,我怀念的,孙燕姿,,,,,,,
104666169 ,逆态度,张杰,,,,,,,
123138942 ,亲爱的小孩,"赵薇,黄渤,佟大为,郝蕾",,,,,,,
117108786 ,特别的人,方大同,,,,,,,
290177 ,溜溜的情歌,凤凰传奇,,,,,,,
2065932 ,星月神话,金莎,,,,,,,
930068 ,我,张国荣,,,,,,,
115022565 ,Mr.Mr.,少女时代,,,,,,,
885704 ,今天,刘德华,,,,,,,
14953540 ,没有什么不同,曲婉婷,,,,,,,
1194817 ,克罗地亚狂想曲,MakSim,,,,,,,
222321 ,太委屈,陶晶莹,,,,,,,
1055019 ,飞得更高,汪峰,,,,,,,
27845472 ,勿忘心安,张杰,,,,,,,
121852416 ,你是对的人,"戚薇,俊昊",,,,,,,
259218 ,暗香,沙宝亮,,,,,,,
13903312 ,走天涯,"龙梅子,老猫",,,,,,,
39398124 ,哥已经爱上你啦,老猫,,,,,,,
921917 ,笨小孩,"刘德华,柯受良,吴宗宪",,,,,,,
5837564 ,素颜,"许嵩,何曼婷",,,,,,,
71284409 ,原来有你,"郑源,郑东",,,,,,,
331525 ,有多少爱可以重来,迪克牛仔,,,,,,,
247613 ,千纸鹤,邰正宵,,,,,,,
120893249 ,Sweat,东方神起,,,,,,,
1725130 ,虫儿飞,少儿歌曲,,,,,,,
393278 ,祝你一路顺风,吴奇隆,,,,,,,
5665004 ,爱的供养,杨幂,,,,,,,
1103753 ,我们都一样,张杰,,,,,,,
14687422 ,白狐,陈瑞,,,,,,,
7299158 ,海阔天空,Beyond,,,,,,,
10736444 ,简单爱,周杰伦,,,,,,,
1056738 ,一剪梅,费玉清,,,,,,,
804428 ,怎样,戴佩妮,,,,,,,
223901 ,爱江山更爱美人,李丽芬,,,,,,,
1741234 ,感恩的心,欧阳菲菲,,,,,,,
121970847 ,七夕,许嵩,,,,,,,
7325695 ,一丝不挂,陈奕迅,,,,,,,
1038302 ,Poker Face,Lady Gaga,,,,,,,
121301652 ,邂逅,"徐良,杨洋",,,,,,,
122794968 ,越难越爱,吴若希,,,,,,,
98659813 ,咬住下唇 ???? ??,Esna,,,,,,,
1017254 ,想你的365天,李玟,,,,,,,
119811066 ,跟着你到天边,吴青峰,,,,,,,
2091717 ,拯救,孙楠,,,,,,,
44131734 ,晚风,好妹妹乐队,,,,,,,
957348 ,原来你也在这里,刘若英,,,,,,,
2102679 ,听海,张惠妹,,,,,,,
209692 ,城里的月光,许美静,,,,,,,
215265 ,他不爱我,莫文蔚,,,,,,,
119348300 ,没差（特别版）,吴莫愁,,,,,,,
16302405 ,最炫民族风 迪斯科舞曲版,凤凰传奇,,,,,,,
116191352 ,夜空中最亮的星,逃跑计划,,,,,,,
9529842 ,魔鬼中的天使,田馥甄,,,,,,,
218394 ,忽然之间,莫文蔚,,,,,,,
38291366 ,会不会,本兮,,,,,,,
13741949 ,再见青春,汪峰,,,,,,,
13932461 ,御龙归字谣,凤凰传奇,,,,,,,
86717893 ,叶子,萱萱,,,,,,,
1549581 ,舞女泪,韩宝仪,,,,,,,
5957079 ,滚滚红尘,"罗大佑,陈淑桦",,,,,,,
108479527 ,一个歌手的情书,周三,,,,,,,
23444581 ,洋葱,杨宗纬,,,,,,,
975644 ,流年,王菲,,,,,,,
14887473 ,As Long As You Love Me,Justin Bieber,,,,,,,
261383 ,趁早,张惠妹,,,,,,,
10354933 ,一帘幽梦,纯音乐,,,,,,,
247937 ,别在我离开之前离开,雷诺儿,,,,,,,
116646141 ,要死就一定要死在你手里,"莫西子诗,郑钧",,,,,,,
1331259 ,爱一个人好难,苏永康,,,,,,,
223021 ,日不落,蔡依林,,,,,,,
233212 ,故乡,许巍,,,,,,,
18232149 ,DAY BY DAY,T-ara,,,,,,,
106081326 ,原来爱情没有刚刚好,李代沫,,,,,,,
